city,latitude,longitude,datetime,crime_category
Birmingham,33.59475203,-86.73498974,2023-12-31 13:00:00,property
Birmingham,33.56590022,-86.73286791,2023-12-31 08:00:00,property
Birmingham,33.58517842,-86.68870684,2023-12-31 07:00:00,property
Birmingham,33.59699127,-86.64803963,2023-12-30 15:47:00,property
Birmingham,33.52116001,-86.73075857,2023-12-30 15:22:00,property
Birmingham,33.61348182,-86.66689061,2023-12-30 15:20:00,violent
Birmingham,33.61348182,-86.66689061,2023-12-30 15:20:00,violent
Birmingham,33.58986507,-86.69723307,2023-12-30 13:32:00,violent
Birmingham,33.5449629,-86.74728252,2023-12-30 08:00:00,property
Birmingham,33.52846776,-86.72003388,2023-12-30 07:04:00,property
Birmingham,33.58275348,-86.70797457,2023-12-30 01:30:00,property
Birmingham,33.55024676,-86.77457862,2023-12-29 23:00:00,violent
Birmingham,33.66269075,-86.68503544,2023-12-29 12:43:00,property
Birmingham,33.55816253,-86.7280886,2023-12-29 12:00:00,property
Birmingham,33.58696359,-86.69922089,2023-12-29 04:30:00,property
Birmingham,33.52846776,-86.72003388,2023-12-28 10:15:00,property
Birmingham,33.54755214,-86.75847182,2023-12-28 00:00:00,property
Birmingham,33.55611151,-86.7367516,2023-12-27 22:30:00,property
Birmingham,33.60876291,-86.68784792,2023-12-27 20:20:00,property
Birmingham,33.55967021,-86.70816637,2023-12-27 18:30:00,property
Birmingham,33.54762383,-86.73271773,2023-12-27 16:54:00,property
Birmingham,33.53895714,-86.75306783,2023-12-27 15:00:00,property
Birmingham,33.5635782,-86.72631381,2023-12-27 09:45:00,violent
Birmingham,33.55784267,-86.72839576,2023-12-27 09:00:00,property
Birmingham,33.55784267,-86.72839576,2023-12-27 09:00:00,property
Birmingham,33.53830225,-86.74235228,2023-12-27 01:00:00,violent
Birmingham,33.53830225,-86.74235228,2023-12-27 01:00:00,property
Birmingham,33.53830225,-86.74235228,2023-12-27 01:00:00,violent
Birmingham,33.5460611,-86.72107948,2023-12-26 18:00:00,property
Birmingham,33.63470461,-86.71925865,2023-12-26 15:30:00,property
Birmingham,33.55249495,-86.7362453,2023-12-26 11:30:00,property
Birmingham,33.5585271,-86.74318353,2023-12-26 10:00:00,property
Birmingham,33.64679227,-86.70709288,2023-12-26 09:00:00,violent
Birmingham,33.52832325,-86.71826013,2023-12-26 00:00:00,property
Birmingham,33.55714113,-86.73495652,2023-12-25 22:00:00,property
Birmingham,33.6091229,-86.67738087,2023-12-25 20:30:00,property
Birmingham,33.54423187,-86.74514492,2023-12-25 15:56:00,property
Birmingham,33.59137249,-86.6961381,2023-12-25 11:30:00,property
Birmingham,33.55330729,-86.71763127,2023-12-25 10:00:00,property
Birmingham,33.5444149,-86.74785574,2023-12-25 08:00:00,property
Birmingham,33.62220569,-86.7061574,2023-12-25 06:30:00,property
Birmingham,33.61293991,-86.69786709,2023-12-25 02:40:00,property
Birmingham,33.56750846,-86.71536947,2023-12-24 21:15:00,property
Birmingham,33.52846776,-86.72003388,2023-12-24 20:29:00,property
Birmingham,33.59157651,-86.70018254,2023-12-24 12:00:00,property
Birmingham,33.62459513,-86.68648812,2023-12-24 04:07:00,property
Birmingham,33.64824382,-86.70568995,2023-12-24 00:40:00,violent
Birmingham,33.52793628,-86.75572026,2023-12-23 21:00:00,property
Birmingham,33.56891467,-86.70732357,2023-12-23 17:30:00,property
Birmingham,33.556814,-86.72508963,2023-12-23 11:20:00,property
Birmingham,33.54292947,-86.78091119,2023-12-23 11:00:00,property
Birmingham,33.56137288,-86.73103006,2023-12-23 04:00:00,property
Birmingham,33.56381455,-86.71699987,2023-12-22 22:35:00,property
Birmingham,33.52810929,-86.73263721,2023-12-22 18:30:00,property
Birmingham,33.56109457,-86.71558708,2023-12-22 14:15:00,property
Birmingham,33.59653793,-86.71744302,2023-12-22 11:00:00,property
Birmingham,33.57266272,-86.65243669,2023-12-22 09:00:00,property
Birmingham,33.56006927,-86.72622566,2023-12-22 00:00:00,property
Birmingham,33.5768377,-86.7262034,2023-12-21 20:30:00,property
Birmingham,33.52919205,-86.77733979,2023-12-21 20:30:00,property
Birmingham,33.58937433,-86.69846568,2023-12-21 17:00:00,property
Birmingham,33.55440395,-86.73936538,2023-12-21 13:00:00,property
Birmingham,33.5578108,-86.73796826,2023-12-21 02:00:00,property
Birmingham,33.53201509,-86.71742236,2023-12-20 20:00:00,property
Birmingham,33.62863421,-86.71035834,2023-12-20 14:00:00,property
Birmingham,33.66146932,-86.68470807,2023-12-19 23:40:00,property
Birmingham,33.59704477,-86.64944861,2023-12-19 17:30:00,property
Birmingham,33.58684419,-86.68381738,2023-12-19 16:00:00,property
Birmingham,33.62347209,-86.6535178,2023-12-19 00:00:00,property
Birmingham,33.58684419,-86.68381738,2023-12-18 22:00:00,property
Birmingham,33.66146932,-86.68470807,2023-12-18 15:53:00,violent
Birmingham,33.61930309,-86.69158442,2023-12-18 11:00:00,property
Birmingham,33.55634951,-86.73467796,2023-12-18 03:00:00,property
Birmingham,33.58739428,-86.68625131,2023-12-17 20:50:00,violent
Birmingham,33.52846776,-86.72003388,2023-12-17 15:00:00,property
Birmingham,33.59007893,-86.69616592,2023-12-17 11:00:00,property
Birmingham,33.55861,-86.73432791,2023-12-17 02:30:00,property
Birmingham,33.56071013,-86.72963742,2023-12-16 23:00:00,property
Birmingham,33.66266228,-86.68769744,2023-12-16 09:30:00,property
Birmingham,33.5478798,-86.74354181,2023-12-16 09:00:00,property
Birmingham,33.54868734,-86.73015625,2023-12-16 02:00:00,property
Birmingham,33.52846776,-86.72003388,2023-12-15 19:51:00,property
Birmingham,33.57019314,-86.77225407,2023-12-15 16:00:00,property
Birmingham,33.53939093,-86.74250203,2023-12-15 12:00:00,property
Birmingham,33.56760916,-86.71981296,2023-12-15 06:00:00,property
Birmingham,33.54355213,-86.72100195,2023-12-15 03:00:00,property
Birmingham,33.5203916,-86.73132359,2023-12-14 11:52:00,property
Birmingham,33.51447878,-86.74629571,2023-12-14 11:00:00,property
Birmingham,33.55101335,-86.73594706,2023-12-14 10:20:00,property
Birmingham,33.52846776,-86.72003388,2023-12-14 08:00:00,property
Birmingham,33.59353567,-86.67896296,2023-12-13 17:20:00,property
Birmingham,33.55819351,-86.73270056,2023-12-13 15:50:00,property
Birmingham,33.53881536,-86.8731408,2023-12-13 14:00:00,property
Birmingham,33.61930309,-86.69158442,2023-12-13 09:00:00,property
Birmingham,33.53130326,-86.73350445,2023-12-13 08:00:00,property
Birmingham,33.59651002,-86.72994301,2023-12-13 08:00:00,property
Birmingham,33.55315504,-86.71200894,2023-12-12 23:00:00,property
Birmingham,33.62154927,-86.66048034,2023-12-12 21:00:00,property
Birmingham,33.56543035,-86.77549081,2023-12-12 18:00:00,property
Birmingham,33.55428432,-86.78293923,2023-12-12 11:00:00,property
Birmingham,33.56843291,-86.7293372,2023-12-12 08:00:00,property
Birmingham,33.54317344,-86.72835238,2023-12-11 20:00:00,property
Birmingham,33.52596986,-86.72194602,2023-12-11 17:25:00,property
Birmingham,33.60952451,-86.69345632,2023-12-11 15:45:00,property
Birmingham,33.53705335,-86.73337026,2023-12-11 14:09:00,property
Birmingham,33.54962942,-86.73913099,2023-12-11 12:00:00,property
Birmingham,33.61257135,-86.71250748,2023-12-10 23:45:00,violent
Birmingham,33.56903278,-86.69831794,2023-12-10 18:00:00,property
Birmingham,33.56903278,-86.69831794,2023-12-10 18:00:00,violent
Birmingham,33.55210381,-86.73960476,2023-12-10 18:00:00,property
