city,datetime,hour,month,weekday,crime_category,latitude,longitude
Cambridge,2023-04-07 04:00:00,4,4,4,other,52.225275,0.152368
Cambridge,2023-04-20 16:00:00,16,4,3,other,52.190164,0.136961
Cambridge,2023-04-15 20:00:00,20,4,5,other,52.198504,0.099495
Cambridge,2023-04-11 20:00:00,20,4,1,other,52.184937,0.160235
Cambridge,2023-04-08 22:00:00,22,4,5,other,52.206712,0.130292
Cambridge,2023-04-21 22:00:00,22,4,4,other,52.193333,0.176561
Cambridge,2023-04-07 10:00:00,10,4,4,other,52.231891,0.132834
Cambridge,2023-04-26 09:00:00,9,4,2,other,52.226817,0.12137
Cambridge,2023-04-19 16:00:00,16,4,2,other,52.198264,0.112547
Cambridge,2023-04-23 00:00:00,0,4,6,other,52.193745,0.134822
Cambridge,2023-04-11 04:00:00,4,4,1,other,52.216898,0.169867
Cambridge,2023-04-11 15:00:00,15,4,1,other,52.169478,0.096766
Cambridge,2023-04-24 06:00:00,6,4,0,other,52.204911,0.132942
Cambridge,2023-04-21 11:00:00,11,4,4,other,52.165457,0.108288
Cambridge,2023-04-04 07:00:00,7,4,1,other,52.225451,0.08653
Cambridge,2023-04-08 17:00:00,17,4,5,other,52.219497,0.111388
Cambridge,2023-04-24 00:00:00,0,4,0,other,52.204215,0.121172
Cambridge,2023-04-03 19:00:00,19,4,0,other,52.204215,0.121172
Cambridge,2023-04-22 11:00:00,11,4,5,other,52.188807,0.170825
Cambridge,2023-04-21 03:00:00,3,4,4,other,52.219264,0.132298
Cambridge,2023-04-02 11:00:00,11,4,6,other,52.18628,0.173803
Cambridge,2023-04-24 21:00:00,21,4,0,other,52.218965,0.144332
Cambridge,2023-04-12 00:00:00,0,4,2,other,52.211711,0.147203
Cambridge,2023-04-06 00:00:00,0,4,3,other,52.2012,0.140726
Cambridge,2023-04-02 02:00:00,2,4,6,other,52.180619,0.116713
Cambridge,2023-04-28 20:00:00,20,4,4,other,52.195963,0.141411
Cambridge,2023-04-21 11:00:00,11,4,4,other,52.181162,0.117544
Cambridge,2023-04-01 21:00:00,21,4,5,other,52.207875,0.123658
Cambridge,2023-04-12 20:00:00,20,4,2,other,52.234858,0.117726
Cambridge,2023-04-26 12:00:00,12,4,2,other,52.231282,0.128583
Cambridge,2023-04-22 12:00:00,12,4,5,other,52.231282,0.128583
Cambridge,2023-04-12 20:00:00,20,4,2,other,52.210237,0.115794
Cambridge,2023-04-25 08:00:00,8,4,1,other,52.2071,0.119758
Cambridge,2023-04-17 17:00:00,17,4,0,other,52.196817,0.146895
Cambridge,2023-04-27 00:00:00,0,4,3,other,52.227584,0.114715
Cambridge,2023-04-27 05:00:00,5,4,3,other,52.204215,0.121172
Cambridge,2023-04-10 22:00:00,22,4,0,other,52.20199,0.13151
Cambridge,2023-04-28 23:00:00,23,4,4,other,52.186843,0.18808
Cambridge,2023-04-28 04:00:00,4,4,4,other,52.201557,0.161597
Cambridge,2023-04-16 03:00:00,3,4,6,other,52.21781,0.162328
Cambridge,2023-04-15 05:00:00,5,4,5,other,52.204215,0.121172
Cambridge,2023-04-15 02:00:00,2,4,5,other,52.231577,0.122183
Cambridge,2023-04-19 16:00:00,16,4,2,other,52.215513,0.169872
Cambridge,2023-04-12 10:00:00,10,4,2,other,52.207109,0.135185
Cambridge,2023-04-23 03:00:00,3,4,6,other,52.234223,0.132004
Cambridge,2023-04-20 19:00:00,19,4,3,other,52.209787,0.145932
Cambridge,2023-04-25 00:00:00,0,4,1,other,52.195307,0.136419
Cambridge,2023-04-03 03:00:00,3,4,0,other,52.211757,0.196447
Cambridge,2023-04-05 22:00:00,22,4,2,other,52.207758,0.138582
Cambridge,2023-04-19 02:00:00,2,4,2,other,52.205004,0.110262
Cambridge,2023-04-07 09:00:00,9,4,4,other,52.169478,0.096766
Cambridge,2023-04-21 21:00:00,21,4,4,other,52.179731,0.129075
Cambridge,2023-04-09 00:00:00,0,4,6,other,52.232352,0.115044
