latitude,longitude,datetime,crime_type,precinct
33.59475203,-86.73498974,12/31/2023 13:00,Theft of Property Auto Theft 1st ,East
33.56590022,-86.73286791,12/31/2023 8:00,Miscellaneous Theft-3rd Degree,East
33.58517842,-86.68870684,12/31/2023 7:00,Theft from Residence - 3rd Degree,East
33.59699127,-86.64803963,12/30/2023 15:47,Shoplifting 3rd Degree,East
33.52116001,-86.73075857,12/30/2023 15:22,"Larceny/Theft-Shoplifting, less than $500",East
33.61348182,-86.66689061,12/30/2023 15:20,Disch Firearm into Occupied Bldg/Veh,East
33.61348182,-86.66689061,12/30/2023 15:20,Attempt to Commit Murder,East
33.58986507,-86.69723307,12/30/2023 13:32,Disch Firearm into Occupied Bldg/Veh,East
33.5449629,-86.74728252,12/30/2023 8:00,Miscellaneous Theft-3rd Degree,East
33.52846776,-86.72003388,12/30/2023 7:04,"Larceny/Theft-Shoplifting, less than $500",East
33.58275348,-86.70797457,12/30/2023 1:30,Theft-Vehicle Parts-1st Degree,East
,,12/29/2023 23:00,Disch Firearm into Occupied Bldg/Veh,East
33.55024676,-86.77457862,12/29/2023 23:00,Disch Firearm into Occupied Bldg/Veh,East
33.66269075,-86.68503544,12/29/2023 12:43,Theft from Residence 4th Degree,East
33.55816253,-86.7280886,12/29/2023 12:00,Burglary (Residence) Force 3rd Degree,East
33.58696359,-86.69922089,12/29/2023 4:30,Theft of Property Auto Theft 1st ,East
33.52846776,-86.72003388,12/28/2023 10:15,"Larceny/Theft-Shoplifting, less than $500",East
33.54755214,-86.75847182,12/28/2023,Theft of Property Auto Theft 1st ,East
33.55611151,-86.7367516,12/27/2023 22:30,Burglary (Residence) Force 3rd Degree,East
33.60876291,-86.68784792,12/27/2023 20:20,"Larceny/Theft-Shoplifting, less than $500",East
33.55967021,-86.70816637,12/27/2023 18:30,Theft of Property Auto Theft 1st ,East
33.54762383,-86.73271773,12/27/2023 16:54,Burglary (Residence) Force 3rd Degree,East
33.53895714,-86.75306783,12/27/2023 15:00,"Larceny/Theft-Shoplifting, less than $500",East
33.5635782,-86.72631381,12/27/2023 9:45,Robbery-Street-Other Weapon-3rd Degree,East
33.55784267,-86.72839576,12/27/2023 9:00,Theft from Residence - 3rd Degree,East
33.55784267,-86.72839576,12/27/2023 9:00,Burglary (Residence) Force 3rd Degree,East
33.53830225,-86.74235228,12/27/2023 1:00,Robbery-Residence-Strong Arm-3rd Degree,East
33.53830225,-86.74235228,12/27/2023 1:00,Theft of Property Auto Theft 1st ,East
33.53830225,-86.74235228,12/27/2023 1:00,Domestic Strangulation or Suffocation,East
33.5460611,-86.72107948,12/26/2023 18:00,Theft of Property Auto Theft 1st ,East
33.63470461,-86.71925865,12/26/2023 15:30,Theft-From Residence-1st Degree,East
33.55249495,-86.7362453,12/26/2023 11:30,Burglary (Residence) Force 3rd Degree,East
33.5585271,-86.74318353,12/26/2023 10:00,Miscellaneous Theft-TOP-1st Degree,East
33.64679227,-86.70709288,12/26/2023 9:00,Domestic Strangulation or Suffocation,East
33.52832325,-86.71826013,12/26/2023,Theft of Property Auto Theft 1st ,East
33.55714113,-86.73495652,12/25/2023 22:00,Theft of Property Auto Theft 1st ,East
33.6091229,-86.67738087,12/25/2023 20:30,Theft of Property Auto Theft 1st ,East
33.54423187,-86.74514492,12/25/2023 15:56,Theft of Property Auto Theft 1st ,East
33.59137249,-86.6961381,12/25/2023 11:30,Miscellaneous Theft-3rd Degree,East
33.55330729,-86.71763127,12/25/2023 10:00,Theft by deception,East
33.5444149,-86.74785574,12/25/2023 8:00,Theft of Property Auto Theft 1st ,East
33.62220569,-86.7061574,12/25/2023 6:30,Theft of Property Auto Theft 1st ,East
33.61293991,-86.69786709,12/25/2023 2:40,Theft - TOP 2nd Degree,East
33.56750846,-86.71536947,12/24/2023 21:15,"Larceny/Theft-Shoplifting, less than $500",East
33.52846776,-86.72003388,12/24/2023 20:29,Theft of Lost Property-2nd Degree,East
,,12/24/2023 17:54,Disch Firearm into Occupied Bldg/Veh,East
33.59157651,-86.70018254,12/24/2023 12:00,Theft of Property Auto Theft 1st ,East
33.62459513,-86.68648812,12/24/2023 4:07,Theft of Property Auto Theft 1st ,East
33.64824382,-86.70568995,12/24/2023 0:40,Disch Firearm into Occupied Bldg/Veh,East
33.52793628,-86.75572026,12/23/2023 21:00,Theft of Property Auto Theft 1st ,East
33.56891467,-86.70732357,12/23/2023 17:30,Theft of Property Auto Theft 1st ,East
33.556814,-86.72508963,12/23/2023 11:20,Theft of Property Auto Theft 1st ,East
33.54292947,-86.78091119,12/23/2023 11:00,Theft-Firearms-3rd Degree,East
33.56137288,-86.73103006,12/23/2023 4:00,Burglary-Residence-No Force-3rd Degree,East
33.56381455,-86.71699987,12/22/2023 22:35,Burglary (Residence) Force 3rd Degree,East
33.52810929,-86.73263721,12/22/2023 18:30,Theft of Lost Property 3rd,East
,,12/22/2023 16:00,Theft of Property Auto Theft 1st ,East
33.56109457,-86.71558708,12/22/2023 14:15,Burglary (Residence) Force 3rd Degree,East
33.59653793,-86.71744302,12/22/2023 11:00,Theft of property with intent to deprive owner,East
33.57266272,-86.65243669,12/22/2023 9:00,Theft by deception,East
33.56006927,-86.72622566,12/22/2023,Theft of Property Auto Theft 1st ,East
33.5768377,-86.7262034,12/21/2023 20:30,Theft of Property Auto Theft 1st ,East
33.52919205,-86.77733979,12/21/2023 20:30,Theft of Property Auto Theft 1st ,East
33.58937433,-86.69846568,12/21/2023 17:00,Theft by deception,East
33.55440395,-86.73936538,12/21/2023 13:00,Burglary-Residence-No Force-3rd Degree,East
33.5578108,-86.73796826,12/21/2023 2:00,Larceny/Theft-TOP 2 $500-less than $1500,East
33.53201509,-86.71742236,12/20/2023 20:00,Theft of Property Auto Theft 1st ,East
33.62863421,-86.71035834,12/20/2023 14:00,Burglary-Residence-No Force-3rd Degree,East
33.66146932,-86.68470807,12/19/2023 23:40,Larceny/Theft-TOP 2 $500-less than $1500,East
33.59704477,-86.64944861,12/19/2023 17:30,Shoplifting 3rd Degree,East
33.58684419,-86.68381738,12/19/2023 16:00,Theft of Property Auto Theft 1st ,East
33.62347209,-86.6535178,12/19/2023,Theft from Residence 4th Degree,East
33.58684419,-86.68381738,12/18/2023 22:00,Theft of Property Auto Theft 1st ,East
33.66146932,-86.68470807,12/18/2023 15:53,Aggravated Assault Family-Knife-2nd Degree,East
,,12/18/2023 13:22,Theft of Property Auto Theft 1st ,East
33.61930309,-86.69158442,12/18/2023 11:00,Burglary-Residence-No Force-3rd Degree,East
33.55634951,-86.73467796,12/18/2023 3:00,Theft of Property Auto Theft 1st ,East
33.58739428,-86.68625131,12/17/2023 20:50,Domestic Strangulation or Suffocation,East
33.52846776,-86.72003388,12/17/2023 15:00,Theft of Property Auto Theft 1st ,East
33.59007893,-86.69616592,12/17/2023 11:00,"Larceny/Theft-Shoplifting, less than $500",East
33.55861,-86.73432791,12/17/2023 2:30,Theft of Property Auto Theft 1st ,East
33.56071013,-86.72963742,12/16/2023 23:00,Theft of Property Auto Theft 1st ,East
33.66266228,-86.68769744,12/16/2023 9:30,Theft of Property Auto Theft 1st ,East
33.5478798,-86.74354181,12/16/2023 9:00,Miscellaneous Theft-3rd Degree,East
33.54868734,-86.73015625,12/16/2023 2:00,Theft of Property Auto Theft 1st ,East
33.52846776,-86.72003388,12/15/2023 19:51,"Larceny/Theft-Shoplifting, less than $500",East
33.57019314,-86.77225407,12/15/2023 16:00,Miscellaneous Theft-TOP-1st Degree,East
33.53939093,-86.74250203,12/15/2023 12:00,Theft - TOP 4th Degree,East
33.56760916,-86.71981296,12/15/2023 6:00,Burglary (Residence) Force 3rd Degree,East
33.54355213,-86.72100195,12/15/2023 3:00,Theft of Property Auto Theft 1st ,East
33.5203916,-86.73132359,12/14/2023 11:52,Theft by deception,East
33.51447878,-86.74629571,12/14/2023 11:00,Theft from Residence 4th Degree,East
33.55101335,-86.73594706,12/14/2023 10:20,Burglary (Residence) Force 3rd Degree,East
33.52846776,-86.72003388,12/14/2023 8:00,Theft - TOP 2nd Degree,East
33.59353567,-86.67896296,12/13/2023 17:20,Theft of Property Auto Theft 1st ,East
33.55819351,-86.73270056,12/13/2023 15:50,Shoplifting 3rd Degree,East
33.53881536,-86.8731408,12/13/2023 14:00,Burglary (Residence) Force 3rd Degree,East
33.61930309,-86.69158442,12/13/2023 9:00,Burglary (Residence) Force 3rd Degree,East
33.53130326,-86.73350445,12/13/2023 8:00,Theft by deception,East
33.59651002,-86.72994301,12/13/2023 8:00,Theft-Firearms-1st Degree,East
