lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk,city
32.62,-96.95,0,11,4,property,other,0.6617,False,0.1548,0.1835,0.6617,15.5,Dallas
32.62,-96.95,3,6,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.95,0,7,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.95,0,12,4,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.95,2,2,4,property,other,0.8317,False,0.087,0.0814,0.8317,8.7,Dallas
32.63,-96.95,2,3,5,property,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.95,2,4,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.95,2,6,3,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.95,2,8,4,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.95,2,10,5,property,other,0.881,False,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.95,2,11,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.95,2,12,5,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.95,3,2,5,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.95,3,7,6,property,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.95,3,9,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.95,3,12,5,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.94,0,9,3,other,other,0.6633,True,0.0974,0.2393,0.6633,9.7,Dallas
32.63,-96.94,1,1,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.94,2,2,3,other,other,0.6116,True,0.2188,0.1696,0.6116,21.9,Dallas
32.63,-96.94,2,5,7,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.94,2,7,3,property,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.94,2,11,5,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.94,2,12,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.63,-96.9,2,2,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.84,1,10,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.84,2,1,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.83,0,1,5,violent,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.83,1,6,3,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.76,2,5,3,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.76,3,10,4,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.63,-96.75,0,11,4,property,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.75,1,3,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.63,-96.75,3,9,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.97,1,2,4,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.97,1,3,3,violent,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.97,3,1,5,property,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.96000000000001,2,1,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.96000000000001,2,2,8,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.96000000000001,2,3,9,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.96000000000001,2,6,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.96000000000001,2,8,3,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.96000000000001,2,9,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.96000000000001,3,3,3,other,other,0.7028,True,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.96000000000001,3,8,3,other,other,0.7803,True,0.1135,0.1062,0.7803,11.4,Dallas
32.64,-96.95,0,1,4,property,other,0.8136,False,0.0963,0.0901,0.8136,9.6,Dallas
32.64,-96.95,0,3,5,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,0,6,3,violent,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,0,10,4,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,0,12,3,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,1,1,3,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,1,2,6,other,other,0.8746,True,0.0185,0.1068,0.8746,1.9,Dallas
32.64,-96.95,1,3,3,violent,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.95,1,5,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,1,12,4,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.95,2,1,11,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,2,2,3,property,other,0.881,False,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.95,2,5,6,property,other,0.7028,False,0.1022,0.1949,0.7028,10.2,Dallas
32.64,-96.95,2,8,5,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,2,9,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,2,11,4,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.95,2,12,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.95,3,1,5,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,2,7,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,3,8,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,5,7,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,6,7,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,9,7,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,10,3,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.95,3,12,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.94,3,5,3,other,other,0.881,True,0.0176,0.1014,0.881,1.8,Dallas
32.64,-96.87,0,1,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,0,3,4,property,other,0.7072,False,0.1029,0.19,0.7072,10.3,Dallas
32.64,-96.87,0,6,3,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,0,10,3,property,other,0.8952,False,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,1,1,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,1,2,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,1,12,3,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,2,1,4,other,other,0.8952,True,0.0172,0.0876,0.8952,1.7,Dallas
32.64,-96.87,2,2,7,other,other,0.7803,True,0.1135,0.1062,0.7803,11.4,Dallas
