lat_bin,lon_bin,time_slot,month,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
38.82,-77.01,0,5.0,4,property,0.5,0.562335165779739,property,0.6294,True,0.3706,0.6294,0.0,0.0,DC,medium
38.82,-77.01,0,7.0,4,violent,0.0,0.6931472015900639,property,0.6553,False,0.3447,0.6553,0.0,0.0,DC,medium
38.82,-77.01,0,8.0,4,violent,0.0,0.6931472015900639,property,0.6556,False,0.3444,0.6556,0.0,0.0,DC,medium
38.82,-77.01,0,9.0,7,violent,0.14285714285714285,0.6829081257408294,property,0.6556,False,0.3444,0.6556,0.0,0.0,DC,medium
38.82,-77.01,0,10.0,4,property,0.5,0.562335165779739,property,0.6278,True,0.3722,0.6278,0.0,0.0,DC,medium
38.82,-77.01,0,11.0,9,property,0.3333333333333333,0.6365141893815645,property,0.6277,True,0.3723,0.6277,0.0,0.0,DC,medium
38.82,-77.01,0,12.0,7,property,0.7142857142857143,0.4101163396015586,property,0.6553,True,0.3447,0.6553,0.0,0.0,DC,medium
38.82,-77.01,1,5.0,3,property,1.0,4.3446531758480495e-08,property,0.6557,True,0.3443,0.6557,0.0,0.0,DC,medium
38.82,-77.01,1,9.0,6,violent,0.0,0.6931472015900639,property,0.6265,False,0.3735,0.6265,0.0,0.0,DC,medium
38.82,-77.01,1,12.0,3,violent,0.3333333333333333,0.6365141893815645,property,0.6274,False,0.3726,0.6274,0.0,0.0,DC,medium
38.82,-77.01,2,5.0,3,property,0.3333333333333333,0.6365141893815645,property,0.6291,True,0.3709,0.6291,0.0,0.0,DC,medium
38.82,-77.01,2,8.0,3,property,1.0,4.3446531758480495e-08,property,0.6269,True,0.3731,0.6269,0.0,0.0,DC,medium
38.82,-77.01,2,10.0,5,property,0.6,0.5004024447610512,property,0.6282,True,0.3718,0.6282,0.0,0.0,DC,medium
38.82,-77.01,2,11.0,3,property,1.0,4.3446531758480495e-08,property,0.6296,True,0.3704,0.6296,0.0,0.0,DC,medium
38.82,-77.01,2,12.0,4,property,1.0,4.3446531758480495e-08,property,0.6269,True,0.3731,0.6269,0.0,0.0,DC,medium
38.82,-77.01,3,2.0,5,property,0.6,0.5004024447610512,property,0.6273,True,0.3727,0.6273,0.0,0.0,DC,medium
38.82,-77.01,3,3.0,3,property,1.0,4.3446531758480495e-08,property,0.6301,True,0.3699,0.6301,0.0,0.0,DC,medium
38.82,-77.01,3,4.0,3,property,0.3333333333333333,0.6365141893815645,property,0.6313,True,0.3687,0.6313,0.0,0.0,DC,medium
38.82,-77.01,3,7.0,4,property,0.5,0.562335165779739,property,0.6269,True,0.3731,0.6269,0.0,0.0,DC,medium
38.82,-77.01,3,8.0,4,property,0.5,0.562335165779739,property,0.6298,True,0.3702,0.6298,0.0,0.0,DC,medium
38.82,-77.01,3,9.0,3,property,0.3333333333333333,0.6365141893815645,property,0.6269,True,0.3731,0.6269,0.0,0.0,DC,medium
38.82,-77.01,3,10.0,6,property,0.3333333333333333,0.6365141893815645,property,0.6273,True,0.3727,0.6273,0.0,0.0,DC,medium
38.82,-77.01,3,11.0,6,property,0.6666666666666666,0.4505612301390093,property,0.6278,True,0.3722,0.6278,0.0,0.0,DC,medium
38.82,-77.01,3,12.0,10,property,0.6,0.5004024447610512,property,0.6276,True,0.3724,0.6276,0.0,0.0,DC,medium
38.83,-77.01,0,1.0,4,violent,0.0,0.6931472015900639,property,0.6554,False,0.3446,0.6554,0.0,0.0,DC,medium
38.83,-77.01,0,2.0,8,violent,0.5,0.562335165779739,property,0.6553,False,0.3447,0.6553,0.0,0.0,DC,medium
38.83,-77.01,0,4.0,5,property,0.6,0.5004024447610512,property,0.6269,True,0.3731,0.6269,0.0,0.0,DC,medium
38.83,-77.01,0,5.0,11,property,0.6363636363636364,0.4741393343069638,property,0.627,True,0.373,0.627,0.0,0.0,DC,medium
38.83,-77.01,0,6.0,4,property,0.5,0.562335165779739,property,0.6278,True,0.3722,0.6278,0.0,0.0,DC,medium
38.83,-77.01,0,7.0,4,violent,0.5,0.562335165779739,property,0.6557,False,0.3443,0.6557,0.0,0.0,DC,medium
38.83,-77.01,0,8.0,5,violent,0.2,0.6730116880595105,property,0.6557,False,0.3443,0.6557,0.0,0.0,DC,medium
38.83,-77.01,0,9.0,6,violent,0.0,0.6931472015900639,property,0.6557,False,0.3443,0.6557,0.0,0.0,DC,medium
38.83,-77.01,0,10.0,4,violent,0.0,0.6931472015900639,property,0.6556,False,0.3444,0.6556,0.0,0.0,DC,medium
38.83,-77.01,0,11.0,6,property,0.3333333333333333,0.6365141893815645,property,0.6278,True,0.3722,0.6278,0.0,0.0,DC,medium
38.83,-77.01,0,12.0,11,property,0.8181818181818182,0.30463611876786795,property,0.6278,True,0.3722,0.6278,0.0,0.0,DC,medium
38.83,-77.01,1,5.0,3,violent,1.0,4.3446531758480495e-08,property,0.6268,False,0.3732,0.6268,0.0,0.0,DC,medium
38.83,-77.01,1,7.0,3,property,1.0,4.3446531758480495e-08,property,0.6275,True,0.3725,0.6275,0.0,0.0,DC,medium
38.83,-77.01,1,8.0,6,property,0.6666666666666666,0.4505612301390093,property,0.6557,True,0.3443,0.6557,0.0,0.0,DC,medium
38.83,-77.01,1,9.0,4,property,1.0,4.3446531758480495e-08,property,0.6554,True,0.3446,0.6554,0.0,0.0,DC,medium
38.83,-77.01,1,10.0,6,property,0.3333333333333333,0.6365141893815645,property,0.6267,True,0.3733,0.6267,0.0,0.0,DC,medium
38.83,-77.01,1,11.0,6,violent,0.0,0.6931472015900639,property,0.6369,False,0.3631,0.6369,0.0,0.0,DC,medium
38.83,-77.01,2,1.0,4,property,0.5,0.562335165779739,property,0.6291,True,0.3709,0.6291,0.0,0.0,DC,medium
38.83,-77.01,2,2.0,5,property,1.0,4.3446531758480495e-08,property,0.6267,True,0.3733,0.6267,0.0,0.0,DC,medium
38.83,-77.01,2,4.0,3,property,1.0,4.3446531758480495e-08,property,0.6279,True,0.3721,0.6279,0.0,0.0,DC,medium
38.83,-77.01,2,5.0,3,property,1.0,4.3446531758480495e-08,property,0.6277,True,0.3723,0.6277,0.0,0.0,DC,medium
38.83,-77.01,2,6.0,6,property,1.0,4.3446531758480495e-08,property,0.627,True,0.373,0.627,0.0,0.0,DC,medium
38.83,-77.01,2,7.0,7,property,1.0,4.3446531758480495e-08,property,0.6267,True,0.3733,0.6267,0.0,0.0,DC,medium
38.83,-77.01,2,8.0,7,property,0.7142857142857143,0.4101163396015586,property,0.6283,True,0.3717,0.6283,0.0,0.0,DC,medium
38.83,-77.01,2,10.0,7,property,1.0,4.3446531758480495e-08,property,0.6283,True,0.3717,0.6283,0.0,0.0,DC,medium
38.83,-77.01,2,11.0,9,property,1.0,4.3446531758480495e-08,property,0.6299,True,0.3701,0.6299,0.0,0.0,DC,medium
38.83,-77.01,2,12.0,9,property,1.0,4.3446531758480495e-08,property,0.6274,True,0.3726,0.6274,0.0,0.0,DC,medium
38.83,-77.01,3,1.0,6,property,0.6666666666666666,0.4505612301390093,property,0.6278,True,0.3722,0.6278,0.0,0.0,DC,medium
38.83,-77.01,3,2.0,3,property,1.0,4.3446531758480495e-08,property,0.6285,True,0.3715,0.6285,0.0,0.0,DC,medium
38.83,-77.01,3,3.0,6,property,1.0,4.3446531758480495e-08,property,0.6281,True,0.3719,0.6281,0.0,0.0,DC,medium
38.83,-77.01,3,4.0,4,property,1.0,4.3446531758480495e-08,property,0.6541,True,0.3459,0.6541,0.0,0.0,DC,medium
38.83,-77.01,3,6.0,5,property,0.6,0.5004024447610512,property,0.6446,True,0.3554,0.6446,0.0,0.0,DC,medium
38.83,-77.01,3,7.0,5,property,1.0,4.3446531758480495e-08,property,0.6269,True,0.3731,0.6269,0.0,0.0,DC,medium
38.83,-77.01,3,8.0,5,property,0.6,0.5004024447610512,property,0.6271,True,0.3729,0.6271,0.0,0.0,DC,medium
