lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_other,p_property,p_violent,risk
42.26,-83.17,2,3,3,violent,violent,0.9995079928446783,True,0.00024604889088072196,0.0002459582644410288,0.9995079928446783,31.5
42.26,-83.17,2,5,4,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,36.6
42.26,-83.17,2,9,4,property,property,0.9993185030305247,True,0.00047861719443234184,0.9993185030305247,0.0002028797750429991,36.6
42.26,-83.17,3,4,3,other,other,0.9995011867023735,True,0.9995011867023735,0.00024940618004807365,0.00024940711757844426,31.5
42.26,-83.17,3,5,5,violent,violent,0.9968377490150325,True,0.0029664874649382505,0.0001957635200292308,0.9968377490150325,40.7
42.26,-83.17,3,8,3,violent,violent,0.9989061010500463,True,0.0005386905851588011,0.0005552083647948123,0.9989061010500463,31.5
42.26,-83.17,3,9,4,property,property,0.9995006160908287,True,0.00024969086868000423,0.9995006160908287,0.0002496930404913095,36.6
42.26,-83.17,3,10,4,violent,violent,0.41419129633179086,True,0.2929006936276899,0.2929080100405193,0.41419129633179086,15.2
42.26,-83.17,3,11,5,property,property,0.9995006211330236,True,0.00024968916590246623,0.9995006211330236,0.0002496897010737845,40.8
42.26,-83.16,0,1,4,violent,property,0.9994113342100284,False,0.00025802794665958067,0.9994113342100284,0.00033063784331223043,36.6
42.26,-83.16,0,2,3,violent,violent,0.999500631520256,True,0.0002496851513559284,0.0002496833283881449,0.999500631520256,31.5
42.26,-83.16,0,3,9,violent,violent,0.9995006234630325,True,0.000249685149444142,0.0002496913875233103,0.9995006234630325,52.4
42.26,-83.16,0,4,5,violent,violent,0.9995006323283762,True,0.0002496851516587926,0.0002496825199650931,0.9995006323283762,40.8
42.26,-83.16,0,5,3,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,31.5
42.26,-83.16,0,8,10,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,54.6
42.26,-83.16,0,9,7,violent,violent,0.999500633564334,True,0.0002496851519675471,0.0002496812836984074,0.999500633564334,47.3
42.26,-83.16,0,10,4,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,36.6
42.26,-83.16,1,1,6,property,property,0.9995014813834521,True,0.0002492593722612105,0.9995014813834521,0.0002492592442866329,44.3
42.26,-83.16,1,2,4,violent,property,0.9994113342100284,False,0.00025802794665958067,0.9994113342100284,0.00033063784331223043,36.6
42.26,-83.16,1,3,3,property,property,0.9995006176235723,True,0.00024968916502575645,0.9995006176235723,0.0002496932114019447,31.5
42.26,-83.16,1,6,3,violent,violent,0.9995006315986642,True,0.0002496851514765033,0.00024968324985922055,0.9995006315986642,31.5
42.26,-83.16,1,7,3,property,property,0.9995006176235723,True,0.00024968916502575645,0.9995006176235723,0.0002496932114019447,31.5
42.26,-83.16,1,9,4,property,property,0.9995006176235723,True,0.00024968916502575645,0.9995006176235723,0.0002496932114019447,36.6
