lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk
38.85,-94.6,2,2,4,property,property,0.875,True,0.0,0.8749,0.1251,0.0
38.85,-94.56,0,7,8,property,violent,0.566,False,0.5661,0.3102,0.1238,56.6
38.85,-94.55,1,8,4,property,other,0.673,False,0.0218,0.3051,0.6731,0.0
38.85,-94.55,1,10,3,property,other,0.66,False,0.0223,0.3176,0.6601,0.0
38.85,-94.55,2,1,3,property,other,0.672,False,0.0227,0.3048,0.6725,0.0
38.85,-94.54,0,5,6,other,other,0.898,True,0.0,0.102,0.898,0.0
38.85,-94.54,1,9,3,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.85,-94.54,1,12,4,other,other,0.876,True,0.0,0.1243,0.8757,0.0
38.85,-94.54,2,6,3,property,other,0.898,False,0.0,0.102,0.898,0.0
38.85,-94.52,0,6,3,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.85,-94.38,2,1,4,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.85,-94.38,3,2,3,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.59,2,3,11,property,property,0.76,True,0.0,0.7596,0.2404,0.0
38.86,-94.59,3,1,4,other,violent,0.604,False,0.6043,0.1729,0.2228,60.4
38.86,-94.58,1,4,6,property,property,0.913,True,0.0,0.9134,0.0866,0.0
38.86,-94.56,0,9,3,other,property,0.613,False,0.021,0.6128,0.3662,0.0
38.86,-94.56,2,8,4,property,violent,0.613,False,0.6134,0.2524,0.1341,61.3
38.86,-94.56,2,12,3,property,property,0.613,True,0.021,0.6128,0.3662,0.0
38.86,-94.55,0,7,4,other,other,0.876,True,0.0,0.1243,0.8757,0.0
38.86,-94.55,1,4,8,other,other,0.876,True,0.0,0.1243,0.8757,0.0
38.86,-94.55,1,5,5,other,other,0.876,True,0.0,0.1243,0.8757,0.0
38.86,-94.55,2,5,12,other,other,0.893,True,0.0,0.107,0.893,0.0
38.86,-94.55,3,5,3,property,other,1.0,False,0.0,0.0,1.0,0.0
38.86,-94.55,3,12,4,other,other,1.0,True,0.0,0.0,1.0,0.0
38.86,-94.54,0,10,8,property,violent,0.561,False,0.5609,0.2695,0.1696,56.1
38.86,-94.53,0,1,10,property,violent,0.565,False,0.5652,0.2003,0.2345,56.5
38.86,-94.53,0,3,8,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,0,4,11,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,0,5,4,other,violent,0.822,False,0.8224,0.0801,0.0976,82.2
38.86,-94.53,0,6,16,property,property,0.462,True,0.1466,0.4623,0.3911,0.0
38.86,-94.53,0,7,5,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,0,8,11,violent,violent,0.756,True,0.7564,0.0782,0.1654,75.6
38.86,-94.53,0,9,11,other,property,0.462,False,0.1466,0.4623,0.3911,0.0
38.86,-94.53,0,10,23,violent,other,0.517,False,0.0509,0.4316,0.5175,0.0
38.86,-94.53,0,11,6,property,violent,0.822,False,0.8224,0.0801,0.0976,82.2
38.86,-94.53,1,1,6,other,violent,0.844,False,0.8436,0.0821,0.0742,84.4
38.86,-94.53,1,2,12,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,1,3,14,property,property,0.54,True,0.0961,0.5403,0.3636,0.0
38.86,-94.53,1,4,4,property,violent,0.878,False,0.878,0.0855,0.0366,87.8
38.86,-94.53,1,5,6,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,1,6,10,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,1,8,7,property,property,0.589,True,0.0492,0.5892,0.3616,0.0
38.86,-94.53,1,9,9,other,property,0.492,False,0.096,0.4917,0.4123,0.0
38.86,-94.53,1,10,7,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,1,12,8,other,property,0.546,False,0.0971,0.5456,0.3573,0.0
38.86,-94.53,2,1,26,violent,property,0.528,False,0.1167,0.528,0.3553,0.0
38.86,-94.53,2,2,12,other,property,0.465,False,0.146,0.4645,0.3895,0.0
38.86,-94.53,2,3,14,other,property,0.457,False,0.1464,0.4566,0.397,0.0
38.86,-94.53,2,4,4,other,violent,0.919,False,0.9191,0.0,0.0809,91.9
38.86,-94.53,2,5,5,property,property,0.46,True,0.1474,0.4596,0.3931,0.0
38.86,-94.53,2,6,10,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,2,7,21,violent,property,0.476,False,0.121,0.4762,0.4028,0.0
38.86,-94.53,2,8,20,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,2,9,11,other,property,0.465,False,0.146,0.4645,0.3895,0.0
38.86,-94.53,2,10,15,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,2,11,21,other,violent,1.0,False,1.0,0.0,0.0,100.0
38.86,-94.53,2,12,7,property,property,0.478,True,0.1205,0.4784,0.4011,0.0
38.86,-94.53,3,1,22,other,other,0.635,True,0.1041,0.2609,0.635,0.0
38.86,-94.53,3,2,13,property,other,0.54,False,0.215,0.2448,0.5401,0.0
38.86,-94.53,3,3,16,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,3,4,6,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,3,5,10,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,3,6,12,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,3,7,7,other,other,0.604,True,0.1228,0.2736,0.6036,0.0
38.86,-94.53,3,8,12,property,violent,1.0,False,1.0,0.0,0.0,100.0
38.86,-94.53,3,9,26,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,3,10,18,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.53,3,11,13,property,violent,1.0,False,1.0,0.0,0.0,100.0
38.86,-94.53,3,12,23,violent,violent,0.622,True,0.6218,0.1277,0.2505,62.2
38.86,-94.49,1,4,9,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.49,3,2,3,property,other,0.492,False,0.1519,0.3564,0.4918,0.0
38.86,-94.48,1,5,3,property,property,0.532,True,0.0222,0.5319,0.4459,0.0
38.86,-94.48,1,7,3,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.48,2,11,3,violent,violent,1.0,True,1.0,0.0,0.0,100.0
38.86,-94.46,2,2,4,property,property,0.626,True,0.0508,0.6256,0.3236,0.0
38.86,-94.46,2,8,3,property,property,0.645,True,0.0221,0.6445,0.3333,0.0
38.86,-94.46,2,10,4,property,property,0.613,True,0.021,0.6128,0.3662,0.0
38.86,-94.46,3,6,10,property,violent,0.583,False,0.5825,0.2413,0.1761,58.3
38.87,-94.61,0,8,4,property,property,0.767,True,0.0,0.7671,0.2329,0.0
38.87,-94.61,0,12,4,property,property,0.767,True,0.0,0.7671,0.2329,0.0
38.87,-94.61,1,2,5,property,property,0.907,True,0.0,0.9071,0.0929,0.0
38.87,-94.61,1,5,4,property,property,0.957,True,0.0,0.9573,0.0427,0.0
38.87,-94.61,1,9,6,property,property,0.969,True,0.0,0.9694,0.0306,0.0
38.87,-94.61,1,11,30,property,property,0.969,True,0.0,0.9686,0.0314,0.0
38.87,-94.61,2,1,6,property,property,0.806,True,0.0,0.8065,0.1935,0.0
38.87,-94.61,2,3,3,other,property,0.833,False,0.0,0.8333,0.1667,0.0
38.87,-94.61,2,10,3,property,property,0.796,True,0.0,0.7959,0.2041,0.0
38.87,-94.61,2,11,4,other,violent,0.608,False,0.6079,0.174,0.2181,60.8
