lat_bin,lon_bin,time_slot,month,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
24.55,67.13,0,1,14,other,1.0,4.34465315364359e-08,other,0.6191,True,0.6191,0.0773,0.3035,30.4,Karachi,medium
24.55,67.13,0,2,16,other,0.625,0.4825775864177004,other,0.6137,True,0.6137,0.0784,0.3079,30.8,Karachi,medium
24.55,67.13,0,3,9,other,0.7777777777777778,0.34883211721746554,other,0.6205,True,0.6205,0.077,0.3024,30.2,Karachi,medium
24.55,67.13,0,4,4,other,1.0,4.34465315364359e-08,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.55,67.13,0,5,10,other,0.7,0.639031859650177,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.55,67.13,0,6,5,other,1.0,4.34465315364359e-08,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.55,67.13,0,7,13,other,0.46153846153846156,0.7902679680745903,other,0.6233,True,0.6233,0.0765,0.3002,30.0,Karachi,medium
24.55,67.13,0,8,6,other,1.0,4.34465315364359e-08,other,0.6184,True,0.6184,0.0775,0.3041,30.4,Karachi,medium
24.55,67.13,0,9,5,other,0.6,0.5004024447610513,other,0.6247,True,0.6247,0.0762,0.2991,29.9,Karachi,medium
24.55,67.13,0,10,9,other,0.7777777777777778,0.34883211721746554,other,0.6225,True,0.6225,0.0767,0.3009,30.1,Karachi,medium
24.55,67.13,0,11,12,other,0.75,0.5660857389596289,other,0.6191,True,0.6191,0.0773,0.3035,30.4,Karachi,medium
24.55,67.13,0,12,12,other,0.5833333333333334,0.7214636866925116,other,0.617,True,0.617,0.0778,0.3052,30.5,Karachi,medium
24.8,66.99,0,1,14,other,0.42857142857142855,0.8921178708188162,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.8,66.99,0,2,14,other,0.42857142857142855,0.8921178708188162,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.8,66.99,0,3,11,violent,0.0,0.9347698978582792,other,0.6229,False,0.6229,0.0766,0.3005,30.1,Karachi,medium
24.8,66.99,0,4,15,other,0.5333333333333333,0.7298712099831165,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.8,66.99,0,5,15,other,0.4,0.9502705392332347,other,0.6219,True,0.6219,0.0768,0.3013,30.1,Karachi,medium
24.8,66.99,0,6,24,other,0.4166666666666667,0.8239592165010823,other,0.5463,True,0.5463,0.0792,0.3745,37.5,Karachi,uncertain
24.8,66.99,0,7,13,other,0.46153846153846156,0.7902679680745903,other,0.6216,True,0.6216,0.0768,0.3015,30.2,Karachi,medium
24.8,66.99,0,8,14,other,0.2857142857142857,0.9556998911125343,other,0.5041,True,0.5041,0.0779,0.4179,41.8,Karachi,uncertain
24.8,66.99,0,9,13,violent,0.0,0.9110175397125628,other,0.6243,False,0.6243,0.0763,0.2994,29.9,Karachi,medium
24.8,66.99,0,10,15,other,0.06666666666666667,1.0851886129676505,other,0.6166,True,0.6166,0.0779,0.3056,30.6,Karachi,medium
24.8,66.99,0,11,21,other,0.2857142857142857,0.9556998911125343,other,0.6238,True,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.8,66.99,0,12,19,other,0.3157894736842105,0.9591824302739718,other,0.6243,True,0.6243,0.0763,0.2994,29.9,Karachi,medium
24.8,67.135,0,1,19,property,0.7368421052631579,0.5366645624845252,other,0.5443,False,0.5443,0.123,0.3327,33.3,Karachi,uncertain
24.8,67.135,0,2,6,property,1.0,4.3446531758480495e-08,other,0.5443,False,0.5443,0.123,0.3327,33.3,Karachi,uncertain
24.8,67.135,0,3,9,property,0.7777777777777778,0.34883211721746554,other,0.5446,False,0.5446,0.1224,0.333,33.3,Karachi,uncertain
24.8,67.135,0,4,12,property,0.16666666666666666,0.6791932870355983,other,0.5443,False,0.5443,0.123,0.3327,33.3,Karachi,uncertain
24.8,67.135,0,5,15,property,0.26666666666666666,0.8532361505557784,other,0.5443,False,0.5443,0.123,0.3327,33.3,Karachi,uncertain
24.8,67.135,0,6,15,property,0.8666666666666667,0.24493004827297118,other,0.5467,False,0.5467,0.1176,0.3357,33.6,Karachi,uncertain
24.8,67.135,0,7,12,property,0.6666666666666666,0.4505612301390093,other,0.5443,False,0.5443,0.123,0.3327,33.3,Karachi,uncertain
24.8,67.135,0,8,15,property,0.6666666666666666,0.6277052571971504,other,0.5446,False,0.5446,0.1224,0.333,33.3,Karachi,uncertain
24.8,67.135,0,9,15,property,0.6,0.5004024447610513,other,0.5438,False,0.5438,0.1228,0.3334,33.3,Karachi,uncertain
24.8,67.135,0,10,22,property,0.36363636363636365,0.9575556963742231,other,0.5443,False,0.5443,0.123,0.3327,33.3,Karachi,uncertain
24.8,67.135,0,11,17,property,0.7058823529411765,0.5783252866601273,other,0.5444,False,0.5444,0.1215,0.3341,33.4,Karachi,uncertain
24.8,67.135,0,12,17,property,0.35294117647058826,0.9586918593253719,other,0.5446,False,0.5446,0.1224,0.333,33.3,Karachi,uncertain
24.810000000000002,67.025,0,1,4,other,0.5,0.5623351657797391,other,0.546,True,0.546,0.1178,0.3363,33.6,Karachi,uncertain
24.810000000000002,67.025,0,3,5,violent,0.0,1.0549201679861442,other,0.5436,False,0.5436,0.1228,0.3336,33.4,Karachi,uncertain
24.810000000000002,67.025,0,4,4,other,0.25,1.0397207708399179,other,0.6186,True,0.6186,0.0774,0.304,30.4,Karachi,medium
24.810000000000002,67.025,0,5,3,violent,0.3333333333333333,0.6365141893815645,other,0.6238,False,0.6238,0.0764,0.2998,30.0,Karachi,medium
24.810000000000002,67.025,0,6,3,violent,0.0,1.0986122886681096,other,0.6252,False,0.6252,0.0761,0.2987,29.9,Karachi,medium
24.810000000000002,67.025,0,7,3,property,0.3333333333333333,0.6365141893815645,other,0.5942,False,0.5942,0.0861,0.3197,32.0,Karachi,medium
24.810000000000002,67.025,0,9,5,violent,0.0,1.0549201679861442,other,0.5043,False,0.5043,0.0784,0.4172,41.7,Karachi,uncertain
24.810000000000002,67.025,0,10,8,violent,0.0,1.0821955300387671,other,0.5428,False,0.5428,0.1234,0.3338,33.4,Karachi,uncertain
24.810000000000002,67.025,0,11,4,other,0.25,1.0397207708399179,other,0.538,True,0.538,0.0936,0.3684,36.8,Karachi,uncertain
24.810000000000002,67.03,0,1,4,violent,0.0,0.6931472015900639,other,0.6219,False,0.6219,0.0768,0.3014,30.1,Karachi,medium
