lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
33.71,-118.31,1,4,other,0.25,1.0397207708399179,property,0.8133,False,0.0752,0.8133,0.1115,11.2,LA,high
33.71,-118.31,3,6,other,0.16666666666666666,1.0114042647073518,property,0.814,False,0.0746,0.814,0.1114,11.1,LA,high
33.71,-118.3,0,8,property,0.625,0.7356219397587946,property,0.8134,True,0.0751,0.8134,0.1115,11.2,LA,high
33.71,-118.3,1,9,property,0.3333333333333333,0.6365141893815645,property,0.815,True,0.0737,0.815,0.1113,11.1,LA,high
33.71,-118.3,2,32,property,0.125,1.0717300941124526,property,0.8151,True,0.0736,0.8151,0.1113,11.1,LA,high
33.71,-118.3,3,15,property,0.13333333333333333,0.8823109245150755,property,0.8146,True,0.0741,0.8146,0.1113,11.1,LA,high
33.71,-118.29,0,58,property,0.034482758620689655,1.0965463995380533,property,0.8143,True,0.0743,0.8143,0.1114,11.1,LA,high
33.71,-118.29,1,71,other,0.056338028169014086,1.086350879612882,property,0.8157,False,0.0732,0.8157,0.1111,11.1,LA,high
33.71,-118.29,2,117,property,0.09401709401709402,1.063124401275905,property,0.8154,True,0.0734,0.8154,0.1112,11.1,LA,high
33.71,-118.29,3,127,property,0.11811023622047244,1.0830813599051654,property,0.8157,True,0.0732,0.8157,0.1111,11.1,LA,high
33.71,-118.28,1,3,violent,0.0,1.0986122886681096,property,0.811,False,0.0772,0.811,0.1119,11.2,LA,high
33.72,-118.33,3,4,property,0.25,1.0397207708399179,property,0.8135,True,0.0751,0.8135,0.1115,11.1,LA,high
33.72,-118.32000000000001,0,11,other,0.09090909090909091,1.0361987848192837,property,0.8149,False,0.0738,0.8149,0.1113,11.1,LA,high
33.72,-118.32000000000001,1,12,property,0.75,0.5660857389596289,property,0.8151,True,0.0737,0.8151,0.1112,11.1,LA,high
33.72,-118.32000000000001,2,35,property,0.14285714285714285,1.0789922078775833,property,0.8155,True,0.0734,0.8155,0.1112,11.1,LA,high
33.72,-118.32000000000001,3,18,property,0.1111111111111111,1.0608569471580214,property,0.8145,True,0.0742,0.8145,0.1113,11.1,LA,high
33.72,-118.31,0,24,property,0.20833333333333334,1.0327438135557083,property,0.8139,True,0.0747,0.8139,0.1114,11.1,LA,high
33.72,-118.31,1,32,property,0.28125,1.015063083244053,property,0.8146,True,0.074,0.8146,0.1113,11.1,LA,high
33.72,-118.31,2,55,property,0.12727272727272726,0.9530194708239995,property,0.8156,True,0.0733,0.8156,0.1112,11.1,LA,high
33.72,-118.31,3,44,property,0.29545454545454547,1.0017996083464715,property,0.8152,True,0.0735,0.8152,0.1112,11.1,LA,high
