lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
40.5,-74.25,0,17,property,0.058823529411764705,0.9718487712358767,other,0.8529,False,0.8529,0.1327,0.0144,1.4,NYC,high
40.5,-74.25,1,18,property,0.16666666666666666,1.0114042647073518,other,0.8505,False,0.8505,0.1354,0.0141,1.4,NYC,high
40.5,-74.25,2,14,other,0.42857142857142855,0.8921178708188162,other,0.8706,True,0.8706,0.1158,0.0136,1.4,NYC,high
40.5,-74.25,3,17,other,0.35294117647058826,0.8082699580001821,other,0.8682,True,0.8682,0.1183,0.0136,1.4,NYC,high
40.5,-74.24,0,29,property,0.3793103448275862,0.9123565151589663,other,0.864,False,0.864,0.1223,0.0137,1.4,NYC,high
40.5,-74.24,1,33,other,0.06060606060606061,0.9327481967254363,other,0.8715,True,0.8715,0.1154,0.0131,1.3,NYC,high
40.5,-74.24,2,59,other,0.06779661016949153,0.9725138971829466,other,0.867,True,0.867,0.1189,0.0141,1.4,NYC,high
40.5,-74.24,3,51,other,0.47058823529411764,0.8938885362449964,other,0.8727,True,0.8727,0.114,0.0133,1.3,NYC,high
40.5,-74.23,0,6,property,0.6666666666666666,0.4505612301390093,property,0.6984,True,0.2868,0.6984,0.0148,1.5,NYC,medium
40.5,-74.23,1,4,other,0.25,1.0397207708399179,other,0.8675,True,0.8675,0.1185,0.0141,1.4,NYC,high
40.5,-74.23,2,4,other,0.5,0.5623351657797391,property,0.6667,False,0.3142,0.6667,0.0192,1.9,NYC,medium
40.5,-74.23,3,10,other,0.3,0.8979457248567797,other,0.8679,True,0.8679,0.1179,0.0142,1.4,NYC,high
40.51,-74.25,0,94,other,0.3617021276595745,0.9649438458645918,other,0.8719,True,0.8719,0.1147,0.0134,1.3,NYC,high
40.51,-74.25,1,121,other,0.33884297520661155,0.8823463625419579,other,0.8702,True,0.8702,0.1163,0.0135,1.4,NYC,high
40.51,-74.25,2,189,other,0.4074074074074074,0.8465166285118737,other,0.873,True,0.873,0.1138,0.0132,1.3,NYC,high
40.51,-74.25,3,178,other,0.5056179775280899,0.826242206398354,other,0.8728,True,0.8728,0.1139,0.0133,1.3,NYC,high
40.51,-74.24,0,62,property,0.24193548387096775,0.9340182775193416,other,0.8714,False,0.8714,0.115,0.0136,1.4,NYC,high
40.51,-74.24,1,81,other,0.24691358024691357,0.8936355286739592,other,0.8723,True,0.8723,0.1145,0.0132,1.3,NYC,high
40.51,-74.24,2,114,other,0.05263157894736842,1.0342673989656306,other,0.869,True,0.869,0.1173,0.0137,1.4,NYC,high
40.51,-74.24,3,80,other,0.15,1.0670938948757507,other,0.8733,True,0.8733,0.1134,0.0133,1.3,NYC,high
40.51,-74.23,0,20,property,0.15,0.8451132568429528,other,0.8714,False,0.8714,0.1153,0.0134,1.3,NYC,high
40.51,-74.23,1,33,other,0.18181818181818182,0.9164648855394713,other,0.8664,True,0.8664,0.1193,0.0142,1.4,NYC,high
40.51,-74.23,2,36,other,0.1388888888888889,0.9885683036977366,other,0.8697,True,0.8697,0.1166,0.0137,1.4,NYC,high
40.51,-74.23,3,32,other,0.25,1.0066670009137897,other,0.8656,True,0.8656,0.1199,0.0145,1.5,NYC,high
40.51,-74.22,0,4,property,0.5,0.5623351657797391,other,0.4985,False,0.4985,0.4849,0.0167,1.7,NYC,uncertain
40.51,-74.22,1,14,other,0.5714285714285714,0.796311640173813,other,0.7167,True,0.7167,0.1967,0.0865,8.7,NYC,medium
40.51,-74.22,2,19,other,0.10526315789473684,1.0795295733255184,other,0.8556,True,0.8556,0.127,0.0174,1.7,NYC,high
40.51,-74.22,3,8,other,0.75,0.3767701826029325,other,0.8667,True,0.8667,0.1184,0.0149,1.5,NYC,high
40.51,-74.21000000000001,0,7,other,0.2857142857142857,0.9556998911125343,other,0.8616,True,0.8616,0.1226,0.0158,1.6,NYC,high
40.51,-74.21000000000001,1,5,property,0.0,1.0549201679861442,other,0.8671,False,0.8671,0.1191,0.0137,1.4,NYC,high
40.51,-74.21000000000001,2,8,property,0.125,0.9743147528693494,other,0.8707,False,0.8707,0.116,0.0133,1.3,NYC,high
40.51,-74.21000000000001,3,9,other,0.7777777777777778,0.34883211721746554,other,0.8503,True,0.8503,0.1347,0.0151,1.5,NYC,high
40.51,-74.2,0,8,property,0.0,1.0821955300387671,other,0.7416,False,0.7416,0.2336,0.0247,2.5,NYC,medium
40.51,-74.2,1,10,other,0.4,0.6108643231672951,property,0.7473,False,0.2389,0.7473,0.0138,1.4,NYC,medium
40.51,-74.2,2,20,other,0.4,0.8568409950394724,property,0.6903,False,0.2952,0.6903,0.0144,1.4,NYC,medium
40.51,-74.2,3,16,other,0.25,0.9470571522825082,other,0.8699,True,0.8699,0.1163,0.0137,1.4,NYC,high
40.52,-74.24,0,23,property,0.0,1.0660493483542606,other,0.8656,False,0.8656,0.1198,0.0146,1.5,NYC,high
40.52,-74.24,1,33,property,0.18181818181818182,1.0670895187820832,other,0.862,False,0.862,0.1242,0.0137,1.4,NYC,high
40.52,-74.24,2,54,other,0.2962962962962963,0.8576034202341061,other,0.8709,True,0.8709,0.1158,0.0133,1.3,NYC,high
40.52,-74.24,3,53,other,0.05660377358490566,1.0109750181939847,other,0.8704,True,0.8704,0.116,0.0136,1.4,NYC,high
40.52,-74.23,0,33,other,0.45454545454545453,0.8550080929286106,other,0.8706,True,0.8706,0.1157,0.0136,1.4,NYC,high
40.52,-74.23,1,57,property,0.017543859649122806,1.0012842523346484,other,0.8238,False,0.8238,0.1619,0.0143,1.4,NYC,high
40.52,-74.23,2,78,property,0.14102564102564102,0.9595065391230382,other,0.799,False,0.799,0.1861,0.0149,1.5,NYC,medium
40.52,-74.23,3,57,other,0.03508771929824561,1.0711972361580187,other,0.8726,True,0.8726,0.1142,0.0132,1.3,NYC,high
40.52,-74.22,0,23,other,0.043478260869565216,0.9272771162838269,other,0.864,True,0.864,0.1217,0.0143,1.4,NYC,high
40.52,-74.22,1,32,other,0.125,0.9743147528693494,other,0.8685,True,0.8685,0.1183,0.0131,1.3,NYC,high
40.52,-74.22,2,49,other,0.02040816326530612,0.9798108699179089,other,0.7487,True,0.7487,0.236,0.0154,1.5,NYC,medium
40.52,-74.22,3,63,other,0.2857142857142857,0.9847433454095131,other,0.8747,True,0.8747,0.1121,0.0133,1.3,NYC,high
40.52,-74.21000000000001,0,36,property,0.4722222222222222,0.8629119236253214,other,0.6609,False,0.6609,0.3226,0.0165,1.6,NYC,medium
40.52,-74.21000000000001,1,35,property,0.08571428571428572,0.6894692208089569,property,0.5085,True,0.476,0.5085,0.0155,1.6,NYC,uncertain
40.52,-74.21000000000001,2,36,other,0.19444444444444445,0.9776742172397523,other,0.8725,True,0.8725,0.1143,0.0132,1.3,NYC,high
40.52,-74.21000000000001,3,50,property,0.06,1.03757708994672,other,0.8717,False,0.8717,0.1151,0.0133,1.3,NYC,high
40.52,-74.2,0,37,other,0.32432432432432434,0.9331888730227674,other,0.874,True,0.874,0.1125,0.0135,1.3,NYC,high
40.52,-74.2,1,45,other,0.26666666666666666,1.0096137581740383,other,0.8663,True,0.8663,0.1201,0.0136,1.4,NYC,high
40.52,-74.2,2,76,other,0.19736842105263158,1.0442659246195558,other,0.8735,True,0.8735,0.1134,0.0131,1.3,NYC,high
40.52,-74.2,3,60,other,0.2,1.0482944200024833,other,0.8769,True,0.8769,0.11,0.013,1.3,NYC,high
40.52,-74.19,0,5,property,0.2,0.6730116880595106,other,0.8694,False,0.8694,0.1167,0.0138,1.4,NYC,high
40.52,-74.19,1,24,property,0.0,1.0281838593329258,other,0.8393,False,0.8393,0.1466,0.0141,1.4,NYC,high
40.52,-74.19,2,28,other,0.21428571428571427,1.0346012329101812,other,0.8678,True,0.8678,0.1181,0.0142,1.4,NYC,high
40.52,-74.19,3,17,other,0.5294117647058824,0.8037421073162029,other,0.8717,True,0.8717,0.1148,0.0135,1.4,NYC,high
40.52,-74.18,0,7,property,0.7142857142857143,0.4101163396015584,other,0.8708,False,0.8708,0.1156,0.0136,1.4,NYC,high
40.52,-74.18,1,12,property,0.25,0.887694275799104,other,0.8649,False,0.8649,0.1205,0.0146,1.5,NYC,high
40.52,-74.18,2,7,property,0.14285714285714285,0.6829081257408294,other,0.8652,False,0.8652,0.1203,0.0145,1.5,NYC,high
40.52,-74.18,3,11,property,0.09090909090909091,1.0361987848192837,other,0.8576,False,0.8576,0.1276,0.0147,1.5,NYC,high
40.52,-74.17,2,3,other,0.3333333333333333,0.6365141893815645,other,0.8684,True,0.8684,0.1177,0.0138,1.4,NYC,high
40.53,-74.24,0,35,property,0.45714285714285713,0.8757787022914669,other,0.8656,False,0.8656,0.1205,0.0139,1.4,NYC,high
40.53,-74.24,1,37,other,0.08108108108108109,0.8624840066680419,other,0.8623,True,0.8623,0.1242,0.0135,1.4,NYC,high
40.53,-74.24,2,68,property,0.08823529411764706,1.004214913880662,property,0.7289,True,0.2571,0.7289,0.0141,1.4,NYC,medium
40.53,-74.24,3,53,property,0.03773584905660377,0.8706760874594133,other,0.8677,False,0.8677,0.1184,0.0139,1.4,NYC,high
40.53,-74.23,0,14,property,0.2857142857142857,0.9556998911125343,property,0.5887,True,0.3851,0.5887,0.0262,2.6,NYC,medium
40.53,-74.23,1,97,property,0.6391752577319587,0.5195459558863686,property,0.7512,True,0.2353,0.7512,0.0135,1.4,NYC,medium
40.53,-74.23,2,286,property,0.7447552447552448,0.450528990728138,property,0.7514,True,0.2352,0.7514,0.0134,1.3,NYC,medium
40.53,-74.23,3,132,property,0.6666666666666666,0.5897141748064113,property,0.7492,True,0.2372,0.7492,0.0136,1.4,NYC,medium
