lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk
40.56,-89.78,2,7,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.56,-89.77,1,8,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.56,-89.77,2,12,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.56,-89.74,0,1,5,other,other,0.927,True,0.0,0.0734,0.9266,0.0
40.56,-89.74,1,10,4,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.56,-89.74,2,11,3,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.57,-89.74,3,12,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.57,-89.73,0,8,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.57,-89.73,0,9,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.57,-89.73,0,12,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.57,-89.73,1,8,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.57,-89.73,1,12,6,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.57,-89.73,2,6,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.57,-89.73,3,7,5,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.57,-89.73,3,8,9,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.57,-89.71,2,5,3,other,other,0.767,True,0.0,0.233,0.767,0.0
40.57,-89.7,1,3,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.57,-89.67,2,8,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.58,-89.7,0,8,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.58,-89.69,0,8,3,violent,violent,0.98,True,0.9796,0.0,0.0204,98.0
40.58,-89.69,3,8,4,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.59,-89.68,2,2,3,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.59,-89.68,3,8,13,other,other,0.919,True,0.0413,0.0396,0.9191,0.0
40.6,-89.67,1,6,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.61,-89.67,1,8,3,other,other,0.927,True,0.0,0.0734,0.9266,0.0
