lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_other,p_property,p_violent,risk
40.7,-111.86,0,4,6,other,other,0.9992551307918656,True,0.9992551307918656,0.0003723990272101227,0.000372470180924282,43.2
40.7,-111.86,0,5,9,property,property,0.999255055129985,True,0.00037247265714552863,0.999255055129985,0.00037247221286932145,51.2
40.7,-111.86,1,3,3,property,property,0.9992551316177508,True,0.0003723955560191807,0.9992551316177508,0.0003724728262300015,30.8
40.7,-111.86,2,3,4,property,property,0.9992550539606169,True,0.0003724732418299279,0.9992550539606169,0.00037247279755302335,35.8
40.7,-111.86,2,4,6,property,property,0.9992550538776176,True,0.00037247332513001255,0.9992550538776176,0.00037247279725232985,43.2
40.7,-111.86,2,5,12,property,property,0.9992550045765595,True,0.000372457072653025,0.9992550045765595,0.0003725383507875122,57.0
40.7,-111.86,2,6,10,other,other,0.9992550242874221,True,0.9992550242874221,0.00037247988832382763,0.00037249582425411465,53.3
40.7,-111.86,3,3,5,property,property,0.999255068188532,True,0.0003724711400287502,0.999255068188532,0.00037246067143901254,39.8
40.7,-111.86,3,4,3,property,property,0.9992579605502645,True,0.00036955129071732546,0.9992579605502645,0.00037248815901831786,30.8
40.7,-111.86,3,5,4,property,property,0.9992554970859175,True,0.0003724734290861736,0.9992554970859175,0.000372029484996281,35.8
40.71,-111.87,1,3,3,other,other,0.9992550509725486,True,0.9992550509725486,0.000372475676027414,0.0003724733514239444,30.8
40.71,-111.87,1,4,3,other,other,0.99925505731828,True,0.99925505731828,0.0003724723878393668,0.0003724702938805459,30.8
40.71,-111.87,1,5,7,violent,property,0.7423772919894995,False,0.00027536179593267834,0.7423772919894995,0.25734734621456773,34.3
40.71,-111.87,1,6,3,other,other,0.9992550479165266,True,0.9992550479165266,0.00037247873318845616,0.0003724733502848091,30.8
40.71,-111.87,2,3,4,other,other,0.9992550479201976,True,0.9992550479201976,0.00037247872951613124,0.0003724733502861774,35.8
40.71,-111.87,2,4,10,other,other,0.9992550513926348,True,0.9992550513926348,0.0003724753624530148,0.00037247324491201104,53.3
40.71,-111.87,2,5,6,property,property,0.9992550309516338,True,0.0003724882226300938,0.9992550309516338,0.00037248082573597977,43.2
40.71,-111.87,3,5,10,other,other,0.9992550513856068,True,0.9992550513856068,0.00037247535877673503,0.0003724732556164542,53.3
40.71,-111.87,3,6,5,other,other,0.9992550485136865,True,0.9992550485136865,0.00037247872973735803,0.0003724727565760295,39.8
40.71,-111.86,0,5,3,other,other,0.9992550509694998,True,0.9992550509694998,0.00037247567907722445,0.00037247335142280796,30.8
40.71,-111.86,0,6,3,other,other,0.9992550479165266,True,0.9992550479165266,0.00037247873318845616,0.0003724733502848091,30.8
40.71,-111.86,1,3,3,other,other,0.9992550497009531,True,0.9992550497009531,0.0003724769480968849,0.00037247335094995585,30.8
40.71,-111.86,2,3,8,other,other,0.9992550475805323,True,0.9992550475805323,0.00037247906930808704,0.0003724733501595668,48.8
40.71,-111.86,2,4,3,other,other,0.9992550479165266,True,0.9992550479165266,0.00037247873318845616,0.0003724733502848091,30.8
40.71,-111.86,2,5,10,property,property,0.9992573546550647,True,0.00037161199046250237,0.9992573546550647,0.0003710333544729646,53.3
40.71,-111.86,2,6,8,other,other,0.9992550476513872,True,0.9992550476513872,0.0003724790785881593,0.0003724732700246773,48.8
40.71,-111.86,3,4,5,property,property,0.9991512734967661,True,0.0004263328822342446,0.9991512734967661,0.0004223936209994441,39.8
40.71,-111.86,3,5,8,property,property,0.9990900349597911,True,0.0005388696570140691,0.9990900349597911,0.00037109538319493514,48.8
40.71,-111.86,3,6,3,other,other,0.999206576907288,True,0.999206576907288,0.00036172855228295647,0.00043169454042907827,30.8
40.71,-111.85000000000001,0,5,8,property,property,0.9990907910772309,True,0.0005379395304437653,0.9990907910772309,0.00037126939232541247,48.8
40.71,-111.85000000000001,1,4,5,property,property,0.9992551004008837,True,0.00037242678425257697,0.9992551004008837,0.00037247281486365495,39.8
40.71,-111.85000000000001,1,6,3,violent,violent,0.9992796318212718,True,0.0003801898269606716,0.0003401783517676088,0.9992796318212718,30.8
40.71,-111.85000000000001,2,4,8,other,other,0.9992550509668378,True,0.9992550509668378,0.00037247568174039253,0.00037247335142181565,48.8
40.71,-111.85000000000001,2,5,8,other,other,0.999255392396925,True,0.999255392396925,0.000372136851240845,0.0003724707518340805,48.8
40.71,-111.85000000000001,2,6,4,other,other,0.9992550424980342,True,0.9992550424980342,0.00037248032546483706,0.0003724771765009151,35.8
40.71,-111.85000000000001,3,4,9,other,other,0.9992550477887685,True,0.9992550477887685,0.000372478860994306,0.0003724733502371871,51.2
40.71,-111.85000000000001,3,6,4,other,other,0.9992550392397793,True,0.9992550392397793,0.0003724861471148736,0.0003724746131059417,35.8
40.71,-111.84,0,5,4,property,property,0.9992550537466669,True,0.0003724734561294362,0.9992550537466669,0.00037247279720351793,35.8
40.71,-111.84,1,6,3,property,property,0.9992551316177508,True,0.0003723955560191807,0.9992551316177508,0.0003724728262300015,30.8
40.71,-111.84,2,4,4,other,other,0.9992553927362785,True,0.9992553927362785,0.00037213651176095963,0.00037247075196057396,35.8
40.71,-111.84,2,5,3,property,property,0.9992550539599817,True,0.0003724732418296911,0.9992550539599817,0.0003724727981886187,30.8
40.71,-111.84,2,6,3,other,other,0.9992550509725486,True,0.9992550509725486,0.000372475676027414,0.0003724733514239444,30.8
40.71,-111.83,3,4,3,property,property,0.9992550537466669,True,0.0003724734561294362,0.9992550537466669,0.00037247279720351793,30.8
40.71,-111.83,3,5,3,property,property,0.9992550537466669,True,0.0003724734561294362,0.9992550537466669,0.00037247279720351793,30.8
40.72,-111.88,1,6,5,other,other,0.9992550442469244,True,0.9992550442469244,0.0003724798957638835,0.0003724758573119182,39.8
40.72,-111.87,0,4,6,property,property,0.999254891499598,True,0.0003724732033533018,0.999254891499598,0.0003726352970487977,43.2
40.72,-111.87,0,5,6,property,property,0.9992550175896351,True,0.00037247889354568924,0.9992550175896351,0.0003725035168193694,43.2
40.72,-111.87,0,6,13,other,other,0.9992550513631308,True,0.9992550513631308,0.0003724753654929607,0.00037247327137648943,58.6
40.72,-111.87,1,3,12,property,property,0.9992599641530591,True,0.00036883851646411374,0.9992599641530591,0.0003711973304766901,57.0
40.72,-111.87,1,4,7,other,other,0.9992550477888001,True,0.9992550477888001,0.0003724788609943178,0.00037247335020545444,46.2
40.72,-111.87,1,5,6,other,other,0.9992550480003309,True,0.9992550480003309,0.0003724787295460015,0.00037247327012300264,43.2
40.72,-111.87,1,6,9,property,property,0.9989705815960506,True,0.0005152606035771873,0.9989705815960506,0.0005141578003722661,51.2
40.72,-111.87,2,3,7,property,property,0.9992525773894386,True,0.0003739838562543722,0.9992525773894386,0.00037343875430689003,46.2
40.72,-111.87,2,4,18,other,other,0.9992879176743329,True,0.9992879176743329,0.0003573993217533176,0.0003546830039138151,65.4
40.72,-111.87,2,5,9,property,property,0.9969789093548347,True,0.00031752110886169963,0.9969789093548347,0.002703569536303628,51.1
40.72,-111.87,2,6,15,other,other,0.9992550514611469,True,0.9992550514611469,0.00037247536247855286,0.00037247317637452524,61.6
40.72,-111.87,3,3,6,property,property,0.9992550554673886,True,0.0003724535388802137,0.9992550554673886,0.00037249099373113694,43.2
40.72,-111.87,3,4,10,property,property,0.9992566730223214,True,0.00037162129377344143,0.9992566730223214,0.00037170568390536263,53.3
40.72,-111.87,3,5,4,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,35.8
40.72,-111.87,3,6,12,other,other,0.9992550512140946,True,0.9992550512140946,0.0003724758625242558,0.000372472923381018,57.0
40.72,-111.86,0,3,7,other,other,0.9992550357168513,True,0.9992550357168513,0.0003724875960741405,0.00037247668707475224,46.2
40.72,-111.86,0,4,8,property,property,0.999255053656981,True,0.0003724735456120445,0.999255053656981,0.00037247279740695253,48.8
40.72,-111.86,0,5,11,property,property,0.9992551039916455,True,0.00037245135628012274,0.9992551039916455,0.00037244465207453173,55.2
40.72,-111.86,0,6,8,property,property,0.999255053656981,True,0.0003724735456120445,0.999255053656981,0.00037247279740695253,48.8
40.72,-111.86,1,3,6,property,property,0.999255053877381,True,0.0003724733251299244,0.999255053877381,0.00037247279748910676,43.2
40.72,-111.86,1,4,10,other,other,0.9992549197529053,True,0.9992549197529053,0.0003724363978335508,0.00037264384926120485,53.3
40.72,-111.86,1,5,13,other,other,0.9992550435270566,True,0.9992550435270566,0.0003724797678520691,0.0003724767050912577,58.6
40.72,-111.86,1,6,10,property,property,0.9992014022678153,True,0.0004274055586213553,0.9992014022678153,0.00037119217356324305,53.3
40.72,-111.86,2,3,16,other,other,0.9990805703018897,True,0.9990805703018897,0.0005580353098058328,0.00036139438830439625,63.0
40.72,-111.86,2,4,30,other,other,0.9992550313185371,True,0.9992550313185371,0.00037248780652415797,0.0003724808749386932,76.3
40.72,-111.86,2,5,17,other,other,0.9988942130325139,True,0.9988942130325139,0.0005507631915063905,0.0005550237759797362,64.2
40.72,-111.86,2,6,15,property,property,0.9979027732708932,True,0.0010576778055870182,0.9979027732708932,0.001039548923519932,61.5
40.72,-111.86,3,3,10,property,property,0.9992121536099252,True,0.0003958567812611413,0.9992121536099252,0.0003919896088137901,53.3
40.72,-111.86,3,4,12,property,property,0.9992630055086917,True,0.00036705804622219536,0.9992630055086917,0.0003699364450860655,57.0
40.72,-111.86,3,5,20,property,property,0.9992003153277349,True,0.0004287901417128806,0.9992003153277349,0.00037089453055209973,67.7
40.72,-111.86,3,6,15,property,property,0.9992270979406648,True,0.000388368129784815,0.9992270979406648,0.0003845339295503568,61.6
40.72,-111.85000000000001,0,4,5,property,property,0.9992552751309351,True,0.00037224889616882013,0.9992552751309351,0.0003724759728958459,39.8
40.72,-111.85000000000001,0,6,4,other,other,0.9992549580896234,True,0.9992549580896234,0.0003725715835089818,0.0003724703268675211,35.8
40.72,-111.85000000000001,1,4,3,other,other,0.9992553927326427,True,0.9992553927326427,0.00037213651542992407,0.0003724707519274749,30.8
40.72,-111.85000000000001,1,5,3,other,other,0.9992550509725804,True,0.9992550509725804,0.0003724756760274258,0.0003724733513922118,30.8
40.72,-111.85000000000001,1,6,6,other,other,0.9992550497009848,True,0.9992550497009848,0.00037247694809689673,0.00037247335091822325,43.2
40.72,-111.85000000000001,2,3,6,violent,violent,0.999280607649636,True,0.0003801384226991436,0.00033925392766478855,0.999280607649636,43.2
40.72,-111.85000000000001,2,4,11,other,other,0.9992550513754259,True,0.9992550513754259,0.0003724753531930311,0.00037247327138107246,55.2
40.72,-111.85000000000001,2,5,6,property,property,0.9992555650131277,True,0.0003724734544061053,0.9992555650131277,0.00037196153246613897,43.2
40.72,-111.85000000000001,2,6,11,other,other,0.9992550512953242,True,0.9992550512953242,0.00037247535316317296,0.0003724733515125149,55.2
40.72,-111.85000000000001,3,3,5,property,property,0.999167252681743,True,0.00041830916595336515,0.999167252681743,0.000414438152303819,39.8
40.72,-111.85000000000001,3,4,8,property,property,0.999255053656981,True,0.0003724735456120445,0.999255053656981,0.00037247279740695253,48.8
40.72,-111.85000000000001,3,5,3,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,30.8
40.72,-111.85000000000001,3,6,5,property,property,0.999255068079951,True,0.00037247113998827675,0.999255068079951,0.00037246078006063666,39.8
40.72,-111.84,1,5,4,property,property,0.9992554954639014,True,0.00037247342848156556,0.9992554954639014,0.00037203110761703756,35.8
40.72,-111.84,2,4,3,other,other,0.9991450094947899,True,0.9991450094947899,0.00036321814668904064,0.0004917723585210355,30.8
40.72,-111.84,3,4,5,property,property,0.9992579654698602,True,0.00036954211068743843,0.9992579654698602,0.00037249241945251546,39.8
40.72,-111.84,3,5,4,property,property,0.9992548931027815,True,0.00037247320395088993,0.9992548931027815,0.00037263369326766304,35.8
40.72,-111.84,3,6,5,property,property,0.9992550533770315,True,0.0003724738261833533,0.9992550533770315,0.00037247279678509493,39.8
40.72,-111.82000000000001,3,5,3,other,other,0.9992550563549617,True,0.9992550563549617,0.0003724756780337265,0.0003724679670045947,30.8
40.72,-111.81,0,3,3,property,property,0.9992550541455999,True,0.00037247306166041783,0.9992550541455999,0.000372472792739571,30.8
40.72,-111.81,0,4,4,property,property,0.9992550618974344,True,0.0003724653069364342,0.9992550618974344,0.000372472795629071,35.8
40.72,-111.81,1,3,3,other,other,0.9992550479164524,True,0.9992550479164524,0.00037247873318842846,0.000372473350359151,30.8
40.72,-111.81,1,4,9,property,property,0.9992550551881598,True,0.0003724725988748406,0.9992550551881598,0.0003724722129653762,51.2
40.72,-111.81,1,5,3,property,property,0.9992550539605426,True,0.0003724732418299002,0.9992550539605426,0.00037247279762736546,30.8
40.72,-111.81,1,6,3,violent,violent,0.9992796541620872,True,0.00038016747853972,0.0003401783593729492,0.9992796541620872,30.8
40.72,-111.81,2,4,5,property,property,0.9992551609632244,True,0.0003723631064361047,0.9992551609632244,0.0003724759303394239,39.8
40.72,-111.81,2,5,5,property,property,0.9991533765679737,True,0.00042424663782176787,0.9991533765679737,0.0004223767942045491,39.8
40.72,-111.81,3,3,5,other,other,0.9992550530551382,True,0.9992550530551382,0.0003724769549271051,0.00037246998993485967,39.8
40.72,-111.81,3,4,7,property,property,0.9992550536571433,True,0.000372473545612105,0.9992550536571433,0.0003724727972445178,46.2
40.72,-111.81,3,5,3,property,property,0.999255093533684,True,0.00037243365499472987,0.999255093533684,0.00037247281132125545,30.8
40.72,-111.81,3,6,5,other,other,0.9992550480059801,True,0.9992550480059801,0.00037247873880175933,0.0003724732552183275,39.8
40.730000000000004,-112.02,1,4,4,other,other,0.9992550509725804,True,0.9992550509725804,0.0003724756760274258,0.0003724733513922118,35.8
40.730000000000004,-112.01,3,4,3,property,property,0.9992550117624961,True,0.00037249716832993816,0.9992550117624961,0.00037249106917398476,30.8
40.730000000000004,-112.0,2,4,3,property,property,0.9992550539603803,True,0.00037247324182983975,0.9992550539603803,0.00037247279778980025,30.8
40.730000000000004,-111.97,0,6,4,property,property,0.9992550539471591,True,0.00037247306158644884,0.9992550539471591,0.0003724729912543378,35.8
40.730000000000004,-111.97,1,6,3,other,other,0.9992550509725804,True,0.9992550509725804,0.0003724756760274258,0.0003724733513922118,30.8
40.730000000000004,-111.97,2,4,6,property,property,0.9992555650131277,True,0.0003724734544061053,0.9992555650131277,0.00037196153246613897,43.2
40.730000000000004,-111.97,2,6,5,property,property,0.9992551668401044,True,0.00037237682453036846,0.9992551668401044,0.0003724563353652386,39.8
40.730000000000004,-111.97,3,6,4,violent,violent,0.9991862658474059,True,0.00040988624192559825,0.00040384791066840607,0.9991862658474059,35.8
40.730000000000004,-111.96000000000001,0,5,7,other,other,0.9992550475768931,True,0.9992550475768931,0.00037247907298042714,0.00037247335012646586,46.2
40.730000000000004,-111.96000000000001,1,5,7,other,other,0.9992550476734486,True,0.9992550476734486,0.0003724790822700795,0.0003724732442811999,46.2
40.730000000000004,-111.96000000000001,1,6,4,other,other,0.9992550396009446,True,0.9992550396009446,0.000372486147249503,0.0003724742518059459,35.8
40.730000000000004,-111.96000000000001,2,4,3,other,other,0.9992586333315606,True,0.9992586333315606,0.00036889470858416816,0.0003724719598552223,30.8
40.730000000000004,-111.96000000000001,2,5,3,violent,violent,0.9992796133346147,True,0.0003802014920365257,0.00034018517334868275,0.9992796133346147,30.8
40.730000000000004,-111.96000000000001,2,6,6,other,other,0.9992550479165584,True,0.9992550479165584,0.000372478733188468,0.00037247335025307644,43.2
40.730000000000004,-111.96000000000001,3,6,3,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,30.8
40.730000000000004,-111.95,0,5,3,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,30.8
40.730000000000004,-111.95,1,5,3,other,other,0.9992550479165584,True,0.9992550479165584,0.000372478733188468,0.00037247335025307644,30.8
