lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk,city
47.480000000000004,-122.25,1,1,5,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.480000000000004,-122.25,1,3,5,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.480000000000004,-122.25,1,9,3,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.480000000000004,-122.25,2,3,3,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.49,-122.26,1,3,4,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.49,-122.26,1,4,5,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.49,-122.24000000000001,2,12,3,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.38,1,4,3,property,property,0.7386,True,0.0045,0.7386,0.2569,0.4,Seattle
47.5,-122.38,1,6,3,property,property,0.8389,True,0.0042,0.8389,0.1569,0.4,Seattle
47.5,-122.38,1,10,5,property,property,0.7713,True,0.0045,0.7713,0.2242,0.5,Seattle
47.5,-122.38,2,7,6,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.38,2,9,4,property,property,0.6548,True,0.1162,0.6548,0.229,11.6,Seattle
47.5,-122.38,2,12,4,other,property,0.8845,False,0.0042,0.8845,0.1112,0.4,Seattle
47.5,-122.34,1,2,3,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.34,1,11,3,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.34,1,12,4,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.34,2,12,3,property,property,0.6636,True,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.31,1,4,3,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.27,0,8,4,other,property,0.6636,False,0.1043,0.6636,0.2321,10.4,Seattle
47.5,-122.27,0,10,4,other,property,0.8845,False,0.0042,0.8845,0.1112,0.4,Seattle
47.5,-122.27,1,3,7,property,property,0.8845,True,0.0042,0.8845,0.1112,0.4,Seattle
47.5,-122.27,1,8,3,property,property,0.8845,True,0.0042,0.8845,0.1112,0.4,Seattle
