lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk,city
37.71,-122.5,0,1,5,other,property,0.8727,False,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.5,0,3,6,violent,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.5,1,1,3,property,property,0.5557,True,0.1111,0.5557,0.3332,11.1,SF
37.71,-122.5,1,3,3,property,property,0.5557,True,0.1111,0.5557,0.3332,11.1,SF
37.71,-122.5,2,1,4,other,other,0.5789,True,0.0289,0.3922,0.5789,2.9,SF
37.71,-122.5,2,7,3,property,property,0.5557,True,0.1111,0.5557,0.3332,11.1,SF
37.71,-122.5,2,8,6,violent,property,0.5651,False,0.1206,0.5651,0.3143,12.1,SF
37.71,-122.5,2,12,7,other,property,0.5395,False,0.1151,0.5395,0.3453,11.5,SF
37.71,-122.5,3,1,5,other,property,0.6294,False,0.0611,0.6294,0.3095,6.1,SF
37.71,-122.5,3,3,4,violent,property,0.623,False,0.0705,0.623,0.3064,7.1,SF
37.71,-122.5,3,8,3,property,property,0.8727,True,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.5,3,9,3,property,other,0.5896,False,0.011,0.3994,0.5896,1.1,SF
37.71,-122.5,3,12,4,property,property,0.558,True,0.1225,0.558,0.3194,12.3,SF
37.71,-122.48,1,11,3,property,property,0.5557,True,0.1111,0.5557,0.3332,11.1,SF
37.71,-122.48,1,12,4,property,property,0.5557,True,0.1111,0.5557,0.3332,11.1,SF
37.71,-122.48,3,12,5,property,property,0.5395,True,0.1151,0.5395,0.3453,11.5,SF
37.71,-122.47,0,1,3,property,property,0.8727,True,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,0,2,4,violent,property,0.8727,False,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,0,3,3,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,0,4,8,violent,property,0.6138,False,0.0117,0.6138,0.3745,1.2,SF
37.71,-122.47,0,5,6,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,0,6,6,property,property,0.583,True,0.0612,0.583,0.3558,6.1,SF
37.71,-122.47,0,7,4,property,property,0.7017,True,0.0113,0.7017,0.287,1.1,SF
37.71,-122.47,0,10,5,property,property,0.8727,True,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,1,1,6,other,property,0.8727,False,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,1,2,10,property,property,0.5719,True,0.0123,0.5719,0.4158,1.2,SF
37.71,-122.47,1,3,10,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,1,4,8,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,1,5,7,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,1,6,4,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,1,9,16,other,property,0.8727,False,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,1,10,3,property,property,0.8727,True,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,1,11,4,other,property,0.8727,False,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,1,12,15,property,property,0.6758,True,0.06,0.6758,0.2642,6.0,SF
37.71,-122.47,2,1,12,property,property,0.8727,True,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,2,2,7,property,property,0.6676,True,0.0593,0.6676,0.2731,5.9,SF
37.71,-122.47,2,3,9,property,property,0.7771,True,0.029,0.7771,0.194,2.9,SF
37.71,-122.47,2,4,13,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,2,5,12,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,2,6,4,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,2,7,10,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,2,8,10,other,property,0.7017,False,0.0113,0.7017,0.287,1.1,SF
37.71,-122.47,2,9,7,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,2,10,11,property,property,0.8727,True,0.0109,0.8727,0.1163,1.1,SF
37.71,-122.47,2,11,5,other,property,0.7264,False,0.0645,0.7264,0.2091,6.5,SF
37.71,-122.47,3,1,14,other,property,0.7264,False,0.0645,0.7264,0.2091,6.5,SF
37.71,-122.47,3,2,5,other,property,0.7017,False,0.0113,0.7017,0.287,1.1,SF
37.71,-122.47,3,3,8,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,3,4,7,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,3,5,4,property,property,0.8801,True,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,3,7,11,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,3,9,4,other,property,0.8801,False,0.011,0.8801,0.1089,1.1,SF
37.71,-122.47,3,10,11,property,property,0.7017,True,0.0113,0.7017,0.287,1.1,SF
37.71,-122.47,3,11,7,other,property,0.7264,False,0.0645,0.7264,0.2091,6.5,SF
37.71,-122.47,3,12,5,property,property,0.739,True,0.0103,0.739,0.2506,1.0,SF
37.71,-122.46000000000001,0,1,5,property,property,0.5013,True,0.0417,0.5013,0.457,4.2,SF
37.71,-122.46000000000001,0,2,5,property,property,0.4969,True,0.0628,0.4969,0.4403,6.3,SF
37.71,-122.46000000000001,0,3,5,other,property,0.5298,False,0.1044,0.5298,0.3658,10.4,SF
37.71,-122.46000000000001,0,4,3,property,property,0.7017,True,0.0113,0.7017,0.287,1.1,SF
