lat_bin,lon_bin,time_slot,month,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
53.56,-1.82,1,2.0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.6791,True,0.1193,0.2016,0.6791,67.9,West Yorkshire,medium
53.56,-1.82,2,9.0,4,other,0.25,1.0397207708399179,violent,0.6273,False,0.1203,0.2523,0.6273,62.7,West Yorkshire,medium
53.56,-1.78,0,3.0,3,property,0.3333333333333333,0.6365141893815645,violent,0.6791,False,0.1193,0.2016,0.6791,67.9,West Yorkshire,medium
53.56,-1.77,0,9.0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.6903,True,0.1179,0.1918,0.6903,69.0,West Yorkshire,medium
53.56,-1.77,0,10.0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.6791,True,0.1193,0.2016,0.6791,67.9,West Yorkshire,medium
53.56,-1.77,0,12.0,4,violent,0.5,0.5623351657797391,violent,0.675,True,0.1196,0.2054,0.675,67.5,West Yorkshire,medium
53.56,-1.77,1,2.0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.6789,True,0.1193,0.2018,0.6789,67.9,West Yorkshire,medium
53.56,-1.77,2,2.0,5,violent,0.6,0.5004024447610513,violent,0.6787,True,0.1194,0.2019,0.6787,67.9,West Yorkshire,medium
53.56,-1.77,2,3.0,4,property,0.25,1.0397207708399179,violent,0.6789,False,0.1194,0.2018,0.6789,67.9,West Yorkshire,medium
53.56,-1.77,2,11.0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.6746,True,0.1197,0.2057,0.6746,67.5,West Yorkshire,medium
53.56,-1.77,2,12.0,3,violent,1.0,4.3446531758480495e-08,violent,0.6749,True,0.1196,0.2055,0.6749,67.5,West Yorkshire,medium
53.56,-1.77,3,9.0,4,violent,0.5,0.562335165779739,violent,0.6903,True,0.1179,0.1918,0.6903,69.0,West Yorkshire,medium
53.56,-1.77,3,11.0,4,violent,0.25,1.0397207708399179,violent,0.6748,True,0.1196,0.2056,0.6748,67.5,West Yorkshire,medium
53.57,-1.86,0,9.0,3,property,0.3333333333333333,0.6365141893815645,violent,0.6791,False,0.1193,0.2016,0.6791,67.9,West Yorkshire,medium
53.57,-1.81,0,11.0,3,violent,1.0,4.3446531758480495e-08,violent,0.675,True,0.1196,0.2054,0.675,67.5,West Yorkshire,medium
53.57,-1.81,2,3.0,3,property,0.3333333333333333,0.6365141893815645,violent,0.6789,False,0.1193,0.2018,0.6789,67.9,West Yorkshire,medium
53.57,-1.8,1,3.0,4,property,0.0,0.6931472015900639,violent,0.6791,False,0.1193,0.2016,0.6791,67.9,West Yorkshire,medium
53.57,-1.8,3,11.0,4,violent,0.5,0.562335165779739,violent,0.6748,True,0.1196,0.2056,0.6748,67.5,West Yorkshire,medium
53.57,-1.79,0,1.0,3,property,1.0,4.3446531758480495e-08,violent,0.6902,False,0.1179,0.1918,0.6902,69.0,West Yorkshire,medium
53.57,-1.79,0,2.0,3,property,0.3333333333333333,0.6365141893815645,violent,0.5499,False,0.1148,0.3352,0.5499,55.0,West Yorkshire,uncertain
53.57,-1.79,0,3.0,7,violent,0.14285714285714285,1.0789922078775833,violent,0.6903,True,0.1179,0.1918,0.6903,69.0,West Yorkshire,medium
53.57,-1.79,0,10.0,3,violent,0.3333333333333333,0.6365141893815645,violent,0.5499,True,0.1148,0.3352,0.5499,55.0,West Yorkshire,uncertain
53.57,-1.79,0,12.0,4,property,0.25,1.0397207708399179,violent,0.6902,False,0.1179,0.1918,0.6902,69.0,West Yorkshire,medium
53.57,-1.79,1,1.0,4,property,0.0,0.6931472015900639,violent,0.5501,False,0.1149,0.335,0.5501,55.0,West Yorkshire,medium
53.57,-1.79,1,2.0,4,violent,0.5,0.5623351657797391,violent,0.6903,True,0.1179,0.1918,0.6903,69.0,West Yorkshire,medium
53.57,-1.79,1,3.0,4,violent,0.5,0.562335165779739,violent,0.6791,True,0.1193,0.2016,0.6791,67.9,West Yorkshire,medium
