Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.4314,0.6688,0.4215,1.0,-
LightGBM (no threshold),0.436,0.6679,0.413,1.0,-
XGBoost (no threshold),0.4384,0.6675,0.4132,1.0,-
RandomForest (no threshold),0.439,0.6679,0.4128,1.0,-
CatBoost raw + t=0.3,0.2646,0.4282,0.0944,1.0,0.3
CatBoost Platt + t=0.65,0.2513,0.5682,0.2865,0.756,0.65
CatBoost Iso + t=0.65,0.239,0.514,0.2784,0.643,0.65
LightGBM Platt + t=0.65,0.4238,0.6737,0.4025,0.965,0.65
XGBoost raw + t=0.7,0.4441,0.6732,0.4157,0.971,0.7
RandomForest + t=0.95,0.4439,0.6726,0.4136,0.97,0.95
Two-Stage (dom_gap>0.3),0.2623,0.6192,0.2936,0.454,>0.3
