Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.6281,0.8982,0.6137,1.0,-
LightGBM (no threshold),0.6295,0.897,0.6069,1.0,-
XGBoost (no threshold),0.0,0.0,0.0,1.0,-
RandomForest (no threshold),0.0,0.0,0.0,1.0,-
CatBoost raw + t=0.3,0.229,0.6379,0.0263,1.0,0.3
CatBoost Platt + t=0.3,0.4643,0.8624,0.4815,1.0,0.3
CatBoost Iso + t=0.3,0.4643,0.8624,0.4815,1.0,0.3
LightGBM Platt + t=0.3,0.4643,0.8624,0.4815,1.0,0.3
CatBoost Platt + class-threshold,0.4643,0.8624,0.4815,1.0,per-class
Two-Stage (dom_gap>0.3),0.4736,0.8971,0.4864,0.895,>0.3
