Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.434,0.7815,0.4388,1.0,-
LightGBM (no threshold),0.4655,0.7841,0.4356,1.0,-
XGBoost (no threshold),0.4632,0.7829,0.4318,1.0,-
RandomForest (no threshold),0.4705,0.7841,0.4348,1.0,-
CatBoost raw + t=0.5,0.3217,0.7273,0.0681,0.598,0.5
CatBoost Platt + t=0.8,0.2938,0.7771,0.3123,0.767,0.8
CatBoost Iso + t=0.9,0.3217,0.9316,0.3274,0.043,0.9
LightGBM Platt + t=0.45,0.4739,0.7849,0.4295,0.999,0.45
XGBoost raw + t=0.8,0.4823,0.802,0.4393,0.909,0.8
RandomForest + t=0.95,0.52,0.8156,0.4302,0.865,0.95
CatBoost Platt + class-threshold,0.2853,0.7328,0.3075,0.978,per-class
Two-Stage (dom_gap>0.3),0.2943,0.7798,0.3126,0.326,>0.3
