Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.5303,0.6115,0.5015,1.0,-
LightGBM (no threshold),0.543,0.6135,0.491,1.0,-
XGBoost (no threshold),0.543,0.6132,0.4899,1.0,-
RandomForest (no threshold),0.544,0.6132,0.4865,1.0,-
CatBoost raw + t=0.4,0.5575,0.6401,0.5181,0.797,0.4
CatBoost Platt + t=0.6,0.4451,0.6156,0.4374,0.811,0.6
CatBoost Iso + t=0.95,0.75,0.9878,0.827,0.001,0.95
LightGBM Platt + t=0.4,0.589,0.626,0.4377,0.972,0.4
XGBoost raw + t=0.65,0.5578,0.6316,0.5004,0.888,0.65
RandomForest + t=0.95,0.5578,0.6284,0.4952,0.9,0.95
Two-Stage (dom_gap>0.3),0.4671,0.6421,0.463,0.22,>0.3
