Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.4477,0.7063,0.4504,1.0,-
LightGBM (no threshold),0.452,0.7064,0.4487,1.0,-
XGBoost (no threshold),0.4539,0.7064,0.4509,1.0,-
RandomForest (no threshold),0.4524,0.7063,0.4482,1.0,-
CatBoost raw + t=0.45,0.4618,0.7378,0.4641,0.775,0.45
CatBoost Platt + t=0.85,0.2832,0.7217,0.3062,0.582,0.85
CatBoost Iso + t=0.75,0.4446,0.7593,0.3065,0.672,0.75
LightGBM Platt + t=0.85,0.2782,0.6964,0.3033,0.672,0.85
XGBoost raw + t=0.7,0.5481,0.8618,0.5539,0.353,0.7
RandomForest + t=0.95,0.4561,0.7167,0.4525,0.907,0.95
CatBoost Platt + class-threshold,0.2598,0.6075,0.292,0.884,per-class
Two-Stage (dom_gap>0.3),0.2606,0.6114,0.2925,0.52,>0.3
