Method,Precision Macro,Precision Weighted,F1 Macro,Coverage,Threshold
CatBoost (no threshold),0.4161,0.5476,0.4081,1.0,-
LightGBM (no threshold),0.4156,0.5492,0.412,1.0,-
XGBoost (no threshold),0.4093,0.551,0.4112,1.0,-
RandomForest (no threshold),0.4174,0.5486,0.41,1.0,-
CatBoost raw + t=0.4,0.4266,0.5668,0.4257,0.737,0.4
CatBoost Platt + t=0.65,0.2264,0.4614,0.2697,0.662,0.65
CatBoost Iso + t=0.7,0.2387,0.5128,0.2782,0.359,0.7
LightGBM Platt + t=0.7,0.2354,0.4986,0.2759,0.469,0.7
XGBoost raw + t=0.5,0.4279,0.5697,0.4275,0.752,0.5
RandomForest + t=0.95,0.4274,0.5705,0.4263,0.744,0.95
Two-Stage (dom_gap>0.3),0.2144,0.4136,0.2609,0.391,>0.3
